Word,Frequency
profile,1
provides,1
addition,1
scored,1
pronunciation,1
resource,1
issues,1
lexical,1
coherence,1
fluency,1
account,1
effectively,1
communicate,1
assesses,1
linked,1
thematically,1
wants,1
elicit,1
correspondence,1
interest,1
linguistic,1
relevant,1
manuals,1
instruction,1
leaflets,1
advertisements,1
notices,1
logical,1
text,1
topics,1
personal,1
journals,1
allowed,1
listen,1
recording,1
hear,1
labelling,1
planmap,1
fourth,1
people,1
survival,1
mainly,1
providing,1
focuses,1
explaining,1
requesting,1
respond,1
contrast,1
works,1
something,1
explain,1
event,1
object,1
stages,1
organise,1
graph,1
argumentative,1
rather,1
instructive,1
emphasis,1
structure,1
extended,1
context,1
ieltsorg,1
