word,meaning,part_of_speech,examples,meaning_vi,phonetic
describe,"
+) give a description of
+) to give an account or representation of in words
+) make a mark or lines on a surface",v,"
+) He drew an elaborate plan of attack
+) Discreet Italian police described it in a manner typically continental
+) draw a line","+) tả, diễn tả, mô tả, miêu tả
+) vạch, vẽ
+) cho là, coi là; định rõ tính chất
+) mô tả",describe
provide,"
+) give something useful or necessary to
+) give what is desired or needed, especially support, food or sustenance
+) determine (what is to happen in certain contingencies), especially by including a proviso condition or stipulation",v,"
+) We provided the room with an electrical heater
+) The hostess provided lunch for all the guests
+) The will provides that each child should receive half of the money","+) ((thường) + for,  against) chuẩn bị đầy đủ, dự phòng
+) ((thường) + for) cung cấp, chu cấp, lo cho cái ăn cái mặc cho; lo liệu cho
+) ((thường) + with,  for,  to) cung cấp, kiếm cho
+) (pháp lý) quy định
+) (sử học),  (tôn giáo) (+ to) chỉ định, bổ nhiệm (ai vào một thánh chức có lộc)",supply
multiple,"
+) the product of a quantity by an integer
+) having or involving or consisting of more than one part or entity or individual","n, a","
+) 36 is a multiple of 9
+) multiple birth
+) multiple ownership","+) nhiều, nhiều mối, phức tạp
+) (toán học) bội số
+) bội // bội số
+) common m. bội số chung
+) least common m. bội số chung nhỏ nhất",multiple
parallelism,"
+) similarity by virtue of corresponding",n,"
+) ","+) sự song song; tính song song
+) sự tương đương; tính tương đương
+) (văn học) cách đổi, lối song song
+) (ngôn ngữ học) quan hệ song song
+) [sự, tính] song song",parallelism
kernel,"
+) the inner and usually edible part of a seed or grain or nut or fruit stone
+) a single whole grain of a cereal
+) the choicest or most essential or most vital part of some idea or experience",n,"
+) black walnut kernels are difficult to get out of the shell
+) a kernel of corn
+) the gist of the prosecutor's argument","+) (thực vật học) nhân (trong quả hạch)
+) hạt (lúa mì)
+) (nghĩa bóng) bộ phận nòng cốt, bộ phận chủ yếu
+) (vật lí) hạch; hạt nhân
+) k. of integral equation hạch của phương trình tích phân",kernel
related,"
+) make a logical or causal connection
+) be relevant to
+) give an account of","v, a","
+) I cannot connect these two pieces of evidence in my mind
+) colligate these facts
+) I cannot relate these events at all","+) có liên quan, có quan hệ với ai/ cái gì
+) có họ với (cùng một họ, cùng một tầng lớp )relate /ri'leit/
+) kể lại, thuật lại
+) liên hệ, liên kết
+) có quan hệ, có liên quan",associate
level,"
+) a position on a scale of intensity or amount or quality
+) a relative position or degree of value in a graded group
+) a specific identifiable position in a continuum or series or especially in a process","s, v, n","
+) a moderate grade of intelligence
+) a high level of care is required
+) it is all a matter of degree","+) ống bọt nước, ống thuỷ
+) mức, mực; mặt
+) (nghĩa bóng) trình độ, vị trí, cấp, mức ngang nhau
+) (thông tục) thật thà, thẳng thắn, lương thiện, có thể tin được
+) tìm được địa vị xứng đáng",degree
effect,"
+) a phenomenon that follows and is caused by some previous phenomenon
+) an outward appearance
+) an impression (especially one that is artificial or contrived)","v, n","
+) the magnetic effect was greater when the rod was lengthwise
+) his decision had depressing consequences for business
+) he acted very wise after the event","+) kết quả
+) hiệu lực, hiệu quả, tác dụng
+) tác động, ảnh hưởng; ấn tượng
+) mục đích, ý định
+) (số nhiều) của, của cải, vật dụng",consequence
support,"
+) the activity of providing for or maintaining by supplying with money or necessities
+) aiding the cause or policy or interests of
+) something providing immaterial assistance to a person or cause or interest","v, n","
+) his support kept the family together
+) they gave him emotional support during difficult times
+) the president no longer has the support of his own party","+) sự ủng hộ
+) người ủng hộ
+) người nhờ cậy, nơi nương tựa, cột trụ (của gia đình...); nguồn sinh sống
+) vật chống, cột chống
+) chống, đỡ",support
pro,"
+) an athlete who plays for pay
+) an argument in favor of a proposal
+) in favor of (an action or proposal etc.)","r, n, a","
+) a pro vote",+) (viết tắt) của professionaln đấu thủ nhà nghề,professional
finally,"
+) after an unspecified period of time or an especially long delay
+) as the end result of a succession or process
+) the item at the end",r,"
+) ultimately he had to give in
+) at long last the winter was over
+) last, I'll discuss family values","+) cuối cùng, sau cùng
+) dứt khoát",finally
identify,"
+) recognize as being; establish the identity of someone or something
+) give the name or identifying characteristics of; refer to by name or some other identifying characteristic property
+) consider (oneself) as similar to somebody else",v,"
+) She identified the man on the 'wanted' poster
+) Many senators were named in connection with the scandal
+) The almanac identifies the auspicious months","+) đồng nhất hoá, coi như nhau
+) nhận ra, làm cho nhận ra, nhận biết; nhận diện, nhận dạng
+) đồng nhất với, đồng cảm với
+) đồng nhất hoá, nhận ra",identify
dan,,,,"+) (hàng hải)
+) phao đánh dấu chỗ có cá (ở những chỗ biển sâu) ((cũng) dan buoy)
+) hộp đánh dấu vùng đã gỡ mìn (treo ở đầu một cọc dài)",
major,"
+) a commissioned military officer in the United States Army or Air Force or Marines; below lieutenant colonel and above captain
+) British statesman who was prime minister from 1990 until 1997 (born in 1943)
+) a university student who is studying a particular field as the principal subject","s, v, n, a","
+) she is a linguistics major
+) her major is linguistics
+) She is majoring in linguistics","+) (quân sự) thiếu tá (lục quân)
+) (từ Mỹ,nghĩa Mỹ) con trai đến tuổi thành niên (21 tuổi)
+) chuyên đề (của một sinh viên)
+) người có địa vị cao hơn (trong một lĩnh vực nào đó)
+) lớn (hơn), nhiều (hơn), trọng đại, chủ yếu",major
basic,"
+) a popular programming language that is relatively easy to learn; an acronym for beginner's all-purpose symbolic instruction code; no longer in general use
+) (usually plural) a necessary commodity for which demand is constant
+) pertaining to or constituting a base or basis","s, n, a","
+) a basic fact
+) the basic ingredients
+) basic changes in public opinion occur because of changes in priorities","+) cơ bản, cơ sở
+) (hoá học) (thuộc) bazơ
+) (Tech) cơ bản, căn bản, cơ sở
+) cơ sở, cốt yếu",BASIC
contrast,"
+) the opposition or dissimilarity of things that are compared; ,
+) the act of distinguishing by comparing differences
+) a conceptual separation or distinction","v, n","
+) in contrast to
+) by contrast
+) there is a narrow line between sanity and insanity","+) sự tương phản, sự trái ngược (giữa)
+) (+ to) cái tương phản (với)
+) làm tương phản, làm trái ngược; đối chiếu để làm nổi bật những điểm khác nhau; tương phản nhau, trái ngược hẳn
+) (Tech) tương phản; độ tương phản
+) sự tương phản // đối lập, đối chiếu",contrast
look,"
+) the feelings expressed on a person's face
+) the act of directing the eyes toward something and perceiving it visually
+) physical appearance","v, n","
+) a sad expression
+) a look of triumph
+) an angry face","+) cái nhìn, cái ngó, cái dòm
+) vẻ, vẻ mặt, nét mặt, vẻ ngoài
+) không nên trông mặt mà bắt hình dong
+) nhìn, xem, ngó, để ý, chú ý
+) mở to mắt nhìn, giương mắt nhìn",expression
significant,"
+) important in effect or meaning
+) fairly large
+) too closely correlated to be attributed to chance and therefore indicating a systematic relation","s, a","
+) a significant change in tax laws
+) a significant change in the Constitution
+) a significant contribution","+) đầy ý nghĩa, có tính chất gợi ý
+) quan trọng, trọng đại, đáng chú ý
+) có nghĩa, có ỹ nghĩa, đáng kể",significant
designing,"
+) the act of working out the form of something (as by making a sketch or outline or plan)
+) make or work out a plan for; devise
+) plan something for a specific role or purpose or effect","s, v, n","
+) he contributed to the design of a new instrument
+) They contrived to murder their boss
+) design a new sales strategy","+) sự phác hoạ, sự vẽ kiểu, sự thiết kế, sự trình bày
+) gian ngoan, xảo quyệt, lắm mưu kế, lắm thủ đoạndesign /di'zain/
+) đề cương, bản phác thảo, phác hoạ, đồ án
+) ý muốn, ý định, dự định, dự kiến, mục đích; ý đồ, mưu đồ
+) kế hoạch",design
threaded,"
+) to move or cause to move in a sinuous, spiral, or circular course
+) pass a thread through
+) remove facial hair by tying a fine string around it and pulling at the string","v, a","
+) the river winds through the hills
+) the path meanders through the vineyards
+) sometimes, the gout wanders through the entire body",,weave
different,"
+) unlike in nature or quality or form or degree
+) distinctly separate from the first
+) differing from all others; not ordinary","s, a","
+) took different approaches to the problem
+) came to a different conclusion
+) different parts of the country","+) khác, khác biệt, khác nhau
+) tạp, nhiều
+) khác nhau",different
implicit,"
+) implied though not directly expressed; inherent in the nature of something
+) being without doubt or reserve","s, a","
+) an implicit agreement not to raise the subject
+) there was implicit criticism in his voice
+) anger was implicit in the argument","+) ngấm, ngấm ngầm; ẩn tàng
+) hoàn toàn tuyệt đối
+) (toán học) ẩn",implicit
fork,"
+) cutlery used for serving and eating food
+) the act of branching out or dividing into branches
+) the region of the angle formed by the junction of two branches","v, n","
+) they took the south fork
+) he climbed into the crotch of a tree
+) pitchfork hay","+) cái nĩa (để xiên thức ăn)
+) cái chĩa (dùng để gảy rơm...)
+) chạc cây
+) chỗ ngã ba (đường, sông)
+) (vật lý) thanh mẫu, âm thoa ((cũng) tuning fork)",fork
join,"
+) the shape or manner in which things come together and a connection is made
+) a set containing all and only the members of two or more given sets
+) become part of; become a member of a group or organization","v, n","
+) let C be the union of the sets A and B
+) He joined the Communist Party as a young man
+) join these two parts so that they fit together","+) nối lại, chắp, ghép, buộc (cái nọ vào cái kia)
+) nối liền
+) thắt chặt, hợp nhất, kết hợp, liên hiệp; kết giao, kết thân
+) gia nhập, nhập vào, vào
+) tiếp với, gặp; đổ vào (con sông)",articulation
grand,"
+) the cardinal number that is the product of 10 and 100
+) a piano with the strings on a horizontal harp-shaped frame; usually supported by three legs
+) of behavior that is impressive and ambitious in scale or scope","s, n","
+) an expansive lifestyle
+) in the grand manner
+) collecting on a grand scale","+) rất quan trọng, rất lớn
+) hùng vĩ, uy nghi, trang nghiêm, huy hoàng
+) cao quý, cao thượng; trang trọng, bệ vệ
+) vĩ đại, cừ khôi, xuất chúng, lỗi lạc, ưu tú
+) (thông tục) tuyệt, hay, đẹp",thousand
central,"
+) a workplace that serves as a telecommunications facility where lines from telephones can be connected together to permit communication
+) serving as an essential component
+) in or near a center or constituting a center; the inner area","s, n, a","
+) a cardinal rule
+) the central cause of the problem
+) an example that was fundamental to the argument","+) ở giữa, ở trung tâm; trung ương
+) chính, chủ yếu, trung tâm
+) sự sưởi tập trung (sưởi ấm bằng hơi nước nóng hay nước nóng chảy qua một hệ thống ống từ một nguồn ở trung tâm)
+) (từ Mỹ,nghĩa Mỹ) tổng đài điện thoại
+) (thuộc) trung tâm",central
dispatch,"
+) an official report (usually sent in haste)
+) the act of sending off something
+) the property of being prompt and efficient","v, n","
+) it was done with dispatch
+) discharge one's duties
+) The mafia boss ordered his enemies murdered","+) sự gửi đi (thư, thông điệp...); sự sai phái đi
+) sự đánh chết tươi, sự giết đi, sự khử, sự kết liễu cuộc đời
+) sự giải quyết nhanh gọn, sự làm gấp (một việc gì); sự khẩn trương, sự nhanh gọn
+) (ngoại giao) bản thông điệp, bản thông báo
+) hãng vận tải hàng hoá",dispatch
number,"
+) the property possessed by a sum or total or indefinite quantity of units or individuals
+) a concept of quantity involving zero and units
+) a short theatrical performance that is part of a longer program","v, n","
+) he had a number of chores to do
+) the number of parameters is small
+) the figure was about a thousand","+) số
+) đám, bọn, nhóm, toán
+) sự đếm số lượng
+) (số nhiều) sự hơn về số lượng, số nhiều, đa số
+) (thơ ca) nhịp điệu",number
concept,"
+) an abstract or general idea inferred or derived from specific instances",n,"
+) ","+) (Tech) khái niệm, quan niệm
+) khái niệm, quan niệm
+) absolute c. khái niệm tuyệt đối",concept
management,"
+) the act of managing something
+) those in charge of running a business",n,"
+) he was given overall management of the program
+) is the direction of the economy a function of government?","+) sự trông nom, sự quản lý
+) sự điều khiển
+) ban quản lý, ban quản đốc
+) sự khôn khéo, sự khéo xử; mánh lới
+) sự quản lý, sự lãnh đạo",management
creation,"
+) the human act of creating
+) an artifact that has been brought into existence by someone
+) the event that occurred at the beginning of something",n,"
+) from its creation the plan was doomed to failure
+) she looked forward to her initiation as an adult
+) the foundation of a new scientific society","+) sự tạo thành, sự sáng tạo (thế giới); sự sáng tác
+) tác phẩm; vật được sáng tạo ra
+) sự phong tước
+) sự đóng lần đầu tiên (một vai tuồng, kịch)",creation
model,"
+) a hypothetical description of a complex entity or process
+) a type of product
+) a person who poses for a photographer or painter or sculptor","s, v, n","
+) the computer program was based on a model of the circulatory and respiratory systems
+) his car was an old model
+) the president didn't have time to be a model so the artist worked from photos","+) kiểu, mẫu, mô hình
+) (nghĩa bóng) người làm gương, người gương mẫu
+) (thông tục) người giống hệt; vật giống hệt
+) người làm kiểu, vật làm kiểu (để vẽ, nặn tượng)
+) người đàn bà mặc quần áo mẫu (cho khách xem); quần áo mặc làm mẫu",model
assumed,"
+) take to be the case or to be true; accept without verification or proof
+) take on titles, offices, duties, responsibilities
+) take on a certain form, attribute, or aspect","s, v","
+) I assume his train was late
+) When will the new President assume office?
+) His voice took on a sad tone","+) làm ra vẻ, giả bô
+) giả, không có thật
+) được mệnh danh là đúng, được cho là đúng, được thừa nhận
+) giả địnhassume /ə'sju:m/
+) mang, khoác, có, lấy (cái vẻ, tính chất...)",assume
program,"
+) a series of steps to be carried out or goals to be accomplished
+) a system of projects or services intended to meet a public need
+) a radio or television show","v, n","
+) they drew up a six-step plan
+) they discussed plans for a new bond issue
+) he proposed an elaborate program of public works","+) chương trình (công tác, biểu diễn văn nghệ...)
+) cương lĩnh (của tổ chức, đảng phái)
+) đặt chương trình, lập chương trình",plan
single,"
+) a base hit on which the batter stops safely at first base
+) the smallest whole number or a numeral representing this number
+) hit a single","s, v, n, a","
+) he has the one but will need a two and three to go with it
+) they had lunch at one
+) the batter singled to left field","+) đơn, đơn độc, một mình, chỉ một
+) đơn độc, cô đơn, không vợ, không chồng, ở vậy
+) một, dù là một
+) chân thật, thành thật; kiên định
+) người không vợ, người không chồng, người độc thân; vật đơn",single
virtually,"
+) in essence or effect but not in fact
+) (of actions or states) slightly short of or not quite accomplished; all but",r,"
+) the strike virtually paralyzed the city
+) I'm virtually broke
+) the job is (just) about done","+) thực sự, thực tế
+) hầu như, gần như",virtually
ing,,,,,
however,"
+) despite anything to the contrary (usually following a concession)
+) by contrast; on the other hand
+) to whatever degree or extent",r,"
+) although I'm a little afraid, however I'd like to try it
+) while we disliked each other, nevertheless we agreed
+) he was a stern yet fair master","+) dù đến đâu, dù cách nào, dù cách gì
+) tuy nhiên, tuy thế, tuy vậy",however
contain,"
+) include or contain; have as a component
+) contain or hold; have within
+) lessen the intensity of; temper; hold in restraint; hold or keep within limits",v,"
+) A totally new idea is comprised in this paper
+) The record contains many old songs from the 1930's
+) The jar carries wine","+) chứa đựng, bao hàm, gồm có, bao gồm
+) nén lại, dằn lại, kìm lại, kiềm chế
+) chận lại, ngăn lại, cản lại, kìm lại
+) (toán học) có thể chia hết cho (một số)
+) chứa, bao hàm; sh. chia hết 10 contain 5. 10 chia hết cho 5",incorporate
use,"
+) the act of using
+) what something is used for
+) a particular service","v, n","
+) he warned against the use of narcotic drugs
+) skilled in the utilization of computers
+) the function of an auger is to bore holes","+) sự dùng; cách dùng
+) quyền dùng, quyền sử dụng
+) năng lực sử dụng
+) thói quen, tập quán
+) sự có ích; ích lợi",use
becoming,"
+) enter or assume a certain state or condition
+) undergo a change or development
+) come into existence","s, v","
+) He became annoyed when he heard the bad news
+) It must be getting more serious
+) her face went red with anger","+) vừa, hợp, thích hợp, xứng
+) trở nên, trở thành
+) vừa, hợp, thích hợp, xứng
+) xảy đến
+) trở nên",become
increasingly,"
+) advancing in amount or intensity",r,"
+) she became increasingly depressed",+) xem increase,increasingly
important,"
+) of great significance or value
+) important in effect or meaning
+) of extreme importance; vital to the resolution of a crisis","s, a","
+) important people
+) the important questions of the day
+) a significant change in tax laws","+) quan trọng, trọng đại, trọng yếu, hệ trọng
+) có quyền thế, có thế lực
+) (như) self-importance",important
multicore,,,,,
introduce,"
+) cause to come to know personally
+) bring something new to an environment
+) introduce",v,"
+) permit me to acquaint you with my son
+) introduce the new neighbors to the community
+) A new word processor was introduced","+) giới thiệu
+) bước đầu làm quen cho, khai tâm cho, vỡ lòng cho
+) mở đầu
+) đưa vào, giới thiệu, làm quen",introduce
many,"
+) a quantifier that can be used with count nouns and is often preceded by `as' or `too' or `so' or `that'; amounting to a large but indefinite number",a,"
+) many temptations
+) the temptations are many
+) a good many","+) nhiều, lắm
+) hơn một, nhiều
+) trong một thời gian dài
+) thừa
+) mạnh hơn, tài hơn, không ai dịch được",many
well,"
+) a deep hole or shaft dug or drilled to obtain water or oil or gas or brine
+) a cavity or vessel used to contain liquid
+) an abundant source","a, s, n, r, v","
+) she was a well of information
+) Tears well in her eyes
+) the currents well up","+) (+ up,  out,  forth) phun ra, vọt ra, tuôn ra (nước, nước mắt, máu)
+) tốt, giỏi, hay
+) phong lưu, sung túc
+) hợp lý, chính đáng, phi, đúng
+) nhiều",well
computer,"
+) a machine for performing calculations automatically
+) an expert at calculation (or at operating calculating machines)",n,"
+) ","+) máy điện toán
+) (Tech) máy điện toán, máy tính [TN], computơ; kế toán viên; thiết bị tính
+) máy tính, người tính
+) airborne c. máy tính trên máy bay
+) all transistore c. máy tính toàn bán dẫn",computer
discussion,"
+) an extended communication (often interactive) dealing with some particular topic
+) an exchange of views on some topic",n,"
+) the book contains an excellent discussion of modal logic
+) his treatment of the race question is badly biased
+) we had a good discussion","+) sự thảo luận, sự bàn cãi, sự tranh luận; cuộc thảo luận, cuộc bàn cãi, cuộc tranh luận
+) sự ăn uống ngon lành thích thú (món ăn, rượu)
+) sự thảo luận",discussion
additionally,"
+) in addition, by way of addition; furthermore",r,"
+) he serves additionally as the CEO","+) thêm nữa, ngoài ra",additionally
several,"
+) (used with count nouns) of an indefinite number more than 2 or 3 but not many
+) considered individually
+) distinct and individual",s,"
+) several letters came in the mail
+) several people were injured in the accident
+) the respective club members","+) vài
+) riêng, cá nhân; khác nhau
+) vài
+) một vài; nhiều",several
new,"
+) not of long duration; having just (or relatively recently) come into being or been made or acquired or discovered
+) original and of a kind not seen before
+) lacking training or experience","r, s, a","
+) a new law
+) new cars
+) a new comet","+) mới, mới mẻ, mới lạ
+) khác hẳn
+) tân tiến, tân thời, hiện đại
+) mới nổi (gia đình, người)
+) mới từ (nơi nào đến)",new
abstract,"
+) a concept or idea not associated with any specific instance
+) a sketchy summary of the main points of an argument or theory
+) consider a concept without thinking of a specific example; consider abstractly or theoretically","s, v, n, a","
+) he loved her only in the abstract--not in person
+) Let's abstract away from this particular example
+) abstract words like `truth' and `justice'","+) trừu tượng
+) khó hiểu
+) lý thuyết không thực tế
+) (toán học) số hư
+) bản tóm tắt (cuốn sách, luận án, bài diễn văn...)",abstraction
focus,"
+) the concentration of attention or energy on something
+) maximum clarity or distinctness of an image rendered by an optical system
+) maximum clarity or distinctness of an idea","v, n","
+) the focus of activity shifted to molecular biology
+) he had no direction in his life
+) in focus","+) (toán học),  (vật lý) tiêu điểm
+) (nghĩa bóng) trung tâm, trọng điểm tâm
+) (y học) ổ bệnh
+) làm nổi bật hẳn lên, nêu bật hẳn lên
+) điểm trọng tâm, điểm tập trung mọi sự chú ý",focus
language,"
+) a systematic means of communicating by the use of sounds or conventional symbols
+) (language) communication by word of mouth
+) the text of a popular song or musical-comedy number",n,"
+) he taught foreign languages
+) the language introduced is standard throughout the text
+) the speed with which a program can be executed depends on the language in which it is written","+) tiếng, ngôn ngữ
+) lời nói
+) cách diễn đạt, cách ăn nói
+) nguôn ngữ
+) natural l. ngôn ngữ tự nhiên",language
manage,"
+) be successful; achieve a goal
+) be in charge of, act on, or dispose of
+) come to terms with",v,"
+) She succeeded in persuading us all
+) I managed to carry the box upstairs
+) She pulled it off, even though we never thought her capable of it","+) quản lý, trông nom
+) chế ngự, kiềm chế; điều khiển, sai khiến, dạy dỗ, dạy bảo
+) thoát khỏi, gỡ khỏi; xoay xở được, giải quyết được
+) dùng, sử dụng
+) đạt kết quả, đạt mục đích, xoay sở được, tìm được cách",pull_off
represent,"
+) take the place of or be parallel or equivalent to
+) express indirectly by an image, form, or model; be a symbol
+) be representative or typical for",v,"
+) Because of the sound changes in the course of history, an 'h' in Greek stands for an 's' in Latin
+) What does the Statue of Liberty symbolize?
+) This period is represented by Beethoven","+) tiêu biểu cho, tượng trưng cho; tương ứng với
+) thay mặt, đại diện
+) miêu tả, hình dung
+) đóng (một vai kịch); diễn (một vở kịch)
+) cho là",represent
react,"
+) show a response or a reaction to something
+) act against or in opposition to
+) undergo a chemical reaction; react with another substance under certain conditions",v,"
+) She reacts negatively to everything I say
+) The hydrogen and the oxygen react","+) tác động trở lại, ảnh hưởng trở lại, phản ứng lại
+) (vật lý); (hoá học) phản ứng
+) (+ against) chống lại, đối phó lại
+) (quân sự) phản công, đánh trả lại lại
+) (tài chính) sụt, hạ (giá cả)",react
road,"
+) an open way (generally public) for travel or transportation
+) a way or means to achieve something",n,"
+) the road to fame","+) con đường
+) (từ Mỹ,nghĩa Mỹ) đường sắt
+) đường phố
+) cách, phương pháp, con đường (dẫn tới cái gì...)
+) ((thường) số nhiều) (hàng hải) vũng tàu",road
edition,"
+) the form in which a text (especially a printed book) is published
+) all of the identical copies of something offered to the public at the same time
+) an issue of a newspaper",n,"
+) the first edition appeared in 1920
+) it was too late for the morning edition
+) they issued a limited edition of Bach recordings","+) loại sách in ra loại sách xuất bản
+) số bản in ra (báo, sách...)
+) lần in ra, lần xuất bản
+) (nghĩa bóng) người giống hệt người khác; bản sao
+) sự xuất bản",edition
knowledge,"
+) the psychological result of perception and learning and reasoning",n,"
+) ","+) sự biết
+) sự nhận biết, sự nhận ra
+) sự quen biết
+) sự hiểu biết, tri thức, kiến thức; học thức
+) tin, tin tức",cognition
robin,"
+) small Old World songbird with a reddish breast
+) large American thrush having a rust-red breast and abdomen",n,"
+) ",+) (động vật học) chim cổ đỏ ((cũng) robin redbreast),robin
university,"
+) the body of faculty and students at a university
+) establishment where a seat of higher learning is housed, including administrative and living quarters as well as facilities for research and teaching
+) a large and diverse institution of higher learning created to educate for life and for a profession and to grant degrees",n,"
+) ","+) trường đại học
+) tập thể (của một) trường đại học
+) đội đại học (đội thể thao của một trường đại học)",university
assessment,"
+) the classification of someone or something with respect to its worth
+) an amount determined as payable
+) the market value set on assets",n,"
+) the assessment for repairs outraged the club's membership
+) they criticized my judgment of the contestants","+) sự định giá (một vật) để đánh thuế; sự đánh giá; sự ước định
+) sự đánh thuế
+) mức định giá đánh thuế; thuế",appraisal
press,"
+) the state of demanding notice or attention
+) the print media responsible for gathering and publishing news in the form of newspapers or magazines
+) a machine used for printing","v, n","
+) the insistence of their hunger
+) the press of business matters
+) he gave the button a press","+) sự ép, sự nén, sự bóp, sự ấn
+) sự đông đúc, sự chen chúc; đám đông chen chúc, đám đông xô lấn
+) sự thúc ép, sự hối hả, sự tất bật
+) cuộc hỗn chiến, cuộc loạn đả (trong một trận đánh nhau)
+) cái ép; máy ép; máy nén bàn là",imperativeness
part,"
+) something determined in relation to something that includes it
+) something less than the whole of a human artifact
+) a portion of a natural object","v, n, r","
+) he wanted to feel a part of something bigger than himself
+) I read a portion of the manuscript
+) the smaller component is hard to reach","+) phần, bộ phận, tập (sách)
+) bộ phận cơ thể
+) phần việc, nhiệm vụ
+) vai, vai trò; lời nói của một vai kịch; bản chép lời của một vai kịch
+) (số nhiều) nơi, vùng",part
official,"
+) a worker who holds or is invested with an office
+) someone who administers the rules of a game or sport
+) having official authority or sanction","a, n, s","
+) the golfer asked for an official who could give him a ruling
+) official permission
+) an official representative","+) (thuộc) chính quyền; (thuộc) văn phòng
+) chính thức
+) trịnh trọng, theo nghi thức
+) (y học) để làm thuốc, dùng làm thuốc
+) viên chức, công chức",official
authentic,"
+) conforming to fact and therefore worthy of belief
+) not counterfeit or copied",s,"
+) an authentic account by an eyewitness
+) reliable information
+) an authentic signature","+) thật; xác thực
+) đáng tin",authentic
examination,"
+) the act of examining something closely (as for mistakes)
+) a set of questions or exercises evaluating skill or knowledge
+) formal systematic questioning",n,"
+) when the test was stolen the professor had to make a new set of questions","+) sự khám xét kỹ, sự xem xét kỹ, sự thẩm tra, sự khảo sát, sự nghiên cứu
+) sự thi cử; kỳ thi
+) (pháp lý) sự thẩm tra",examination
node,"
+) a connecting point at which several lines come together
+) any thickened enlargement
+) (botany) the small swelling that is the part of a plant stem from which one or more leaves emerge",n,"
+) ","+) (thực vật học) mấu, đốt, mắt
+) (y học) cục u, bướu cứng
+) (toán học); (vật lý) giao điểm; nút
+) nút, điểm nút; đỉnh; tiết điểm
+) ascending n. (thiên văn) nút tiến",node
