word,meaning,part_of_speech,examples,phonetic,meaning_vi
neural,of or relating to the nervous system,a,"nervous disease
neural disorder",nervous,"
+) (thuộc) thần kinh"
problematic,open to doubt or debate,s,"If you ever get married, which seems to be extremely problematic",debatable,"
+) còn phải bàn; không chắc, mơ hồ"
depressive,someone suffering psychological depression,n,,depressive,"
+) làm suy nhược, làm suy yếu
+) người bị chứng trầm cảm"
affective,characterized by emotion,s,,affectional,"
+) xúc động, dễ xúc động"
metrics,the study of poetic meter and the art of versification,n,,prosody,"
+) môn vận luật
+) mêtric học"
addiction,being abnormally tolerant to and dependent on something that is psychologically or physically habit-forming (especially alcohol or narcotic drugs),n,,addiction,"
+) thói nghiện
+) sự ham mê, sự say mê"
lasso,Belgian composer (1532-1594),n,,Lasso,"
+) dây thòng lọng (dùng để bắt thú vật)
+) bắt bằng dây thòng lọng"
disorder,a physical condition in which there is a disturbance of normal functioning,n,"the doctor prescribed some medicine for the disorder
everyone gets stomach upsets from time to time",disorder,"
+) sự mất trật tự, sự bừa bãi, sự lộn xộn
+) sự hỗn loạn, sự rối loạn, sự náo loạn
+) (y học) sự khó ở, sự rối loạn (một chức năng của cơ thể)
+) làm mất trật tự, làm bừa bãi, làm lộn xộn
+) làm hỗn loạn, làm rối loạn, làm náo loạn
+) (y học) làm khó ở, làm rối loạn (một chức năng của cơ thể)
+) không có thứ tự, làm mất trật tự"
evaluation,act of ascertaining or fixing the value or worth of,n,,evaluation,"
+) sự ước lượng
+) sự định giá
+) sự đánh giá, sự ước lượng
+) e. of an algebraic expression tính giá trị của một biểu thức đại số
+) approximate e. sự ước lượng xấp xỉ
+) effective e. (logic học) sự đánh gia có hiệu quả
+) numerical e. sự ước lượng bằng số"
metric,"a function of a topological space that gives, for any two points in the space, a value equal to the distance between them",n,,metric_function,"
+) (thuộc) mét
+) (như) metrical
+) (toán học) Mêtric
+) mê tric
+) m. of a space mêtric của một không gian
+) areal m. mêtric diện tích
+) equiareal m. mêtric siêu diện tích
+) intrinsic m. (hình học) mêtric nội tại
+) polar m. mêtric cực
+) spherical m. (giải tích) mêtric cầu
+) spherically symmetrical m. (hình học) mêtric đối xứng cầu"
filter,device that removes something from whatever passes through it,n,,filter,"
+) cái lọc, máy lọc (xăng, không khí)
+) (nhiếp ảnh) cái lọc (ánh sáng)
+) (raddiô) bộ lọc
+) (thông tục) đầu lọc (ở đầu điếu thuốc lá)
+) lọc
+) ngấm qua; thấm qua; thấm vào, xâm nhập
+) tiết lộ ra; lọt ra (tin tức...)
+) nối (vào đường giao thông)
+) (Tech) bộ lọc (quang/sóng); màn che; chương trình lọc
+) (điều khiển học); (vật lí) cái lọc, bộ lọc, máy lọc
+) all-pass f. máy lọc pha
+) amplitude f. máy lọc biên độ
+) band f. máy lọc giải
+) band-elimination f. máy lọc khử theo giải
+) bandpass f. cái lọc băng (giải)
+) elamping f. cái lọc được giữ cố định
+) compensating f. cái lọc bổ chính
+) discontinuous f. máy lọc xung
+) feedback f. cái lọc hệ ngược
+) frequency f. cái lọc tần số
+) high-pass f. cái lọc sao
+) infinite memory f. bộ lọc có nhớ vô hạn
+) interference f. máy lọc chống nhiễu loạn
+) lossless f. máy lọc không hao
+) low-pass f. máy lọc các tần thấp
+) mode f. cái lọc kiểu sóng
+) noise f. cái lọc tiếng ồn
+) nonlinear f. bộ lọc không tuyến tính
+) normalized f. bộ lọc được chuẩn hoá
+) optimun f. bộ lọc tối ưu
+) output f. máy lọc (có) lối ra
+) predicting f. cái lọc tiên đoán
+) pulsed f. máy lọc xung
+) seperation f. cái lọc tách
+) stable f. cái lọc ổn định
+) suppression f. máy lọc chẵn
+) total f. bộ lọc phức
+) tuned f. cái lọc cộng hưởng
+) wave f. cái lọc sóng"
precision,the quality of being reproducible in amount or performance,n,"he handled it with the preciseness of an automaton
note the meticulous precision of his measurements",preciseness,"
+) sự đúng, sự chính xác; tính đúng, tính chính xác; độ chính xác
+) đúng, chính xác
+) [sự, độ] chính xác; (máy tính) chiều dài một từ
+) instrument p. độ chính xác của một dụng cụ
+) relative p. độ chính xác tương đối, độ hiệu dụng"
intensity,the amount of energy transmitted (as by acoustic or electromagnetic radiation),n,"he adjusted the intensity of the sound
they measured the station's signal strength",intensity,"
+) độ mạnh, cường độ
+) sức mạnh; tính mãnh liệt, tính dữ dội
+) sự xúc cảm mãnh liệt
+) cường độ
+) i. of force cường độ lực
+) i. of pressure cường độ áp lực
+) i. of sound cường độ âm thanh
+) electrostatic i. cường độ trường tĩnh điện
+) luminous i. cường độ ánh sáng
+) sound i. cường độ âm thanh"
genetic,occurring among members of a family usually by heredity,s,"an inherited disease
familial traits
genetically transmitted features",familial,"
+) (thuộc) căn nguyên, (thuộc) nguồn gốc
+) (thuộc) di truyền học
+) phát sinh"
schools,an educational institution,n,the school was founded in 1900,school,"
+) (Anh) dành cho nhà trường
+) đàn cá, bầy cá
+) hợp thành đàn, bơi thành bầy (cá...)
+) trường học, học đường
+) trường sở, phòng học
+) trường (toàn thể học sinh một trường)
+) (nghĩa bóng) trường, hiện trường
+) giảng đường (thời Trung cổ)
+) buổi học, giờ học, giờ lên lớp; sự đi học
+) trường phái
+) môn học
+) phòng thi (ở trường đại học); sự thi
+) môn đệ, môn sinh
+) (âm nhạc) sách dạy đàn
+) một người quân tử theo kiểu cũ
+) theo đòi ai, học hỏi ai
+) cho đi học; dạy dỗ giáo dục
+) rèn luyện cho vào khuôn phép"
gaming,the act of playing for stakes in the hope of winning (including the payment of a price for a chance to win a prize),n,"his gambling cost him a fortune
there was heavy play at the blackjack table",gambling,"
+) sự đánh bạcgame /geim/
+) trò chơi (như bóng đá, quần vợt, bài lá...)
+) (thương nghiệp) dụng cụ để chơi (các trò chơi)
+) (số nhiều) cuộc thi điền kinh, cuộc thi đấu
+) ván (bài, cờ...)
+) trò cười; chuyện nực cười, trò đùa; sự trêu chọc, sự chế nhạo; trò láu cá, mánh khoé
+) ý đồ, mưu đồ
+) thú săn; thịt thú săn
+) (từ Mỹ,nghĩa Mỹ),  (từ lóng) mục tiêu theo đuổi khó khăn, mục tiêu nguy hiểm
+) con vật bị săn, con vật bị dồn; người bị theo đuổi, vật bị theo đuổi
+) bầy (thiên nga)
+) (thể dục,thể thao) không sung sức
+) (thể dục,thể thao) sung sức
+) có những tham vọng cao hơn
+) nắm chắc thắng lợi trong tay; làm chủ được cuộc đấu
+) (xem) play
+) anh thắng cuộc
+) việc làm lợi chẳng bõ công; thu không bù chi
+) việc làm đã thất bại
+) đánh bạc
+) thua bạc khánh kiệt
+) như gà chọi; dũng cảm, anh dũng, gan dạ
+) có nghị lực
+) bị bại liệt (chân, tay); què, thọt
+) trò chơi"
questionnaire,a form containing a set of questions; submitted to people to gain statistical information,n,,questionnaire,"
+) bản câu hỏi (để điều tra, để thăm dò ý kiến)
+) thuật hỏi, bảng hỏi"
usage,the act of using,n,"he warned against the use of narcotic drugs
skilled in the utilization of computers",use,"
+) cách dùng, cách sử dụng
+) (ngôn ngữ học) cách dùng thông thường
+) cách đối xử, cách đối đ i
+) thói quen, tập quán, tục lệ, lệ thường
+) sự sử dụng"
drinks,a single serving of a beverage,n,"I asked for a hot drink
likes a drink before dinner",drink,"
+) liên quan đến rượu
+) đồ uống, thức uống
+) rượu mạnh ((cũng) strong drink)
+) hớp, ngụm; cốc, ly (rượu, nước giải khát)
+) thói rượu chè, thói nghiện rượu
+) (hàng không),  (từ lóng) biển
+) uống (rượu, nước...)
+) uống cạn; (nghĩa bóng) tận hưởng; chịu đựng cho đến cùng
+) uống hết, rượu chè phung phí hết (tiền...)
+) uống cho đến nỗi
+) nâng cốc chúc
+) ((thường) + up,  in) hút, thấm (nước) (cây, giấy thấm...)
+) uống
+) (+ to) nâng cốc chúc
+) uống rượu, uống say, nghiện rượu
+) rượu chè mất hết (lý trí...)
+) uống cho quên hết (nỗi sầu...)
+) uống hơn (ai), tửu lượng bỏ ai (xa)
+) hút vào, thấm vào
+) nghe như uống lấy, nghe say sưa; ngắm nhìn như uống lấy, ngắm nhìn say sưa
+) (thông tục) nốc (rượu) vào
+) uống một hơi, nốc thẳng một hơi
+) (xem) confusion
+) uống được nhiều rượu hơn ai, tửu lượng bỏ xa ai"
out,(baseball) a failure by a batter or runner to reach a base safely in baseball,n,you only get 3 outs per inning,out,"
+) ngoài, ở ngoài, ra ngoài
+) ra
+) hẳn, hoàn toàn hết
+) không nắm chính quyền
+) đang bãi công
+) tắt, không cháy
+) không còn là mốt nữa
+) to thẳng, rõ ra
+) sai khớp, trật khớp, trẹo xương
+) gục, bất tỉnh
+) sai, lầm
+) không như bình thường, bối rối, luống cuống, lúng túng
+) đã xuất bản (sách); đã nở (gà con); đã được cho ra giao du (con gái mới lớn lên); đã truyền đi (bức điện)
+) (thông tục) hoàn toàn, hết sức, hết lực; toàn tâm toàn ý
+) đã dậy ra ngoài được (sau khi ốm khỏi)
+) bỏ xa, không thể so sánh được với
+) đang đi tìm cái gì; theo đuổi cái gì; quyết tâm kiếm bằng được cái gì
+) (từ Mỹ,nghĩa Mỹ),  (thông tục) thoát khỏi cảnh khó khăn, thoát khỏi cảnh hiểm nghèo
+) ra ngoài, ra khỏi, ngoài
+) vì
+) bằng
+) cách xa, cách
+) sai lạc
+) trong, trong đám
+) hết; mất
+) không
+) (từ Mỹ,nghĩa Mỹ) quyết tâm, gắng sức (làm điều gì)
+) cút đi, cút khỏi, ra khỏi
+) bất hoà, xích mích, không thân thiện
+) từ ở... ra, từ... ra
+) ở ngoài, ngoài
+) ở ngoài, ở xa
+) quả
+) (số nhiều) (chính trị) (the outs) đảng không nắm chính quyền
+) (ngành in) sự bỏ sót chữ; chữ bỏ sót
+) (thể dục,thể thao) quả bóng đánh ra ngoài sân (quần vợt)
+) (từ Mỹ,nghĩa Mỹ),  (từ lóng) lối thoát; cách cáo từ, cách thoái thác
+) (xem) in
+) (thông tục) tống cổ nó đi
+) (thể dục,thể thao) cho nó đo ván (quyền Anh)
+) lộ ra (điều bí mật...)"
permutation,an event in which one thing is substituted for another,n,the replacement of lost blood by a transfusion of donor blood,substitution,"
+) sự đôi trật tự (vị trí)
+) (toán học) sự hoán vị; pháp hoán vị
+) (đại số) sự hoán vị p. with repetition hoán vị có lặp; p. without
+) reptition hoán vị không lặp
+) circular p. hoán vị vòng quanh
+) cyclic p. hoán vị vòng quanh
+) discordant p.s hoán vị bất hoà
+) even p. hoán vị chẵn
+) odd p. hoán vị lẻ"
coefficient,a constant number that serves as a measure of some property or characteristic,n,,coefficient,"
+) (toán học),  (vật lý) hệ số
+) (Tech) hệ số
+) hệ số (thống kê) thống kê không thứ nguyên
+) c. of alienation (thống kê) k =  2 1 ư (r là hệ số tương quan hỗn tạp)
+) c. of association hệ số liên đới
+) c. of compressibility hệ số nén . of determination (thống kê) hệ số xác định (bình phương của hệ số tương
+) quan hỗn tạp)
+) c. of diffusion hệ số khuyếch tán
+) c. of divergence hệ số phân kỳ
+) c. of efficiency hệ số tác dụng cóích, hệ số hiệu dụng, hiệu suất
+) c. of excess (thống kê) hệ số nhọn
+) c. of lift hệ số nâng
+) c. of multiple correlation (thống kê) hệ số tương quan bội
+) c. of partial corretation t. hệ số tương quan riêng
+) c. of recombination hệ số tái hợp
+) c. of regression (thống kê) hệ số hồi quy
+) c. of restitution hệ số phục hồi
+) c. of rotation (hình học) hệ số quay
+) c. of varation (thống kê) hệ số biến sai, hệ số biến động
+) absorption c. hệ số hút thu
+) autocorrelation c. hệ số tự tương quan
+) binomial c. hệ số nhị thức
+) canonical correlation c. hệ số tương quan chính tắc
+) confidence c. (thống kê) hệ số tin cậy
+) damping c. hệ số tắt dần
+) differentival c. (giải tích) hệ số vi phân
+) direction c. hệ số chỉ phương
+) elastic c. hệ số đàn hồi
+) force hệ số lực
+) incidence c. (tô pô) hệ số giao hỗ
+) indeterminate c. hệ số vô định
+) inertia c. hệ số quán tính
+) intersection c. chỉ số tương giao
+) kinematic c. of viscosity hệ số nhớt động học
+) leading c. of polynomial hệ số của số hạng cao nhất
+) literal c. hệ số chữ
+) local c.s hệ số địa phương
+) mixed c. hệ số hỗn tạp
+) moment c. (thống kê) mômen
+) non-diménional c. hệ số không thứ nguyên
+) partial differentical c. hệ số vi phân riêng
+) pressure c hệ số áp lực
+) propulsive hệ số đẩy
+) reflection c hệ số phản xạ
+) regression c. hệ số hồi quy
+) reliability c. (thống kê) hệ số tin cậy
+) resistance c. hệ số cản
+) serial correlation c. (thống kê) hệ số tương quan [chuỗi, hàng loạt]
+) strain-optical c. hệ số biến dạng quang
+) stress-optical c. hệ số ứng suất quang
+) successive differential c. hệ số vi phân liên tiếp
+) torsion c (tô pô) hệ số xoắn
+) total diferential c. hệ số vi phân toàn phần
+) transmission c. hệ số truyền đạt
+) triple correlation c hệ số tương quan bội ba
+) undetermined c hệ số bất định
+) vector correlation c. hệ số vectơ tương quan (đối với hai đại lượng ngẫu
+) nhiên nhiều chiều)"
false,not in accordance with the fact or reality or actuality,a,"gave false testimony under oath
false tales of bravery",false,"
+) sai, nhầm
+) không thật, giả
+) dối trá, lừa dối, phản trắc; giả dối
+) báo động giả; báo động lừa
+) quân bài đánh lừa (đánh khác lệ thường nhằm đánh lừa đối phương)
+) thế trái cựa
+) pretence
+) dối, lừa
+) (logic học) sai"
surfing,the sport of riding a surfboard toward the shore on the crest of a wave,n,,surfing,"
+) môn lướt sóngsurf /sə:f/
+) sóng nhào
+) (thể dục,thể thao) lướt sóng"
favorite,something regarded with special favor or liking,n,that book is one of my favorites,favorite,"
+) được mến chuộng, được ưa thích
+) người được ưa chuộng; vật được ưa thích
+) (thể dục,thể thao) (the favourite) người dự cuộc ai cũng chắc sẽ thắng; con vật (ngựa, chó...) dự cuộc ai cũng chắc sẽ thắng
+) sủng thần; ái thiếp, quý phi"
validation,the act of validating; finding or testing the truth of something,n,,validation,"
+) sự làm cho có hiệu lực; sự phê chuẩn; sự công nhận có đủ giá trị
+) (thống kê) sự thừa nhận (tính khách quan của mẫu)"
regarding,deem to be,v,"She views this quite differently from me
I consider her to be shallow
I don't see the situation quite as negatively as you do",see,"
+) đối với (vấn đề...); về phần
+) cái nhìn
+) sự quan tâm, sự chú ý, sự để ý
+) lòng yêu mến; sự kính trọng
+) (số nhiều) lời chúc tụng ((thường) dùng ở cuối bức thư)
+) về vấn đề, đối với vấn đề; về phần
+) về mặt này, về lĩnh vực này, về điểm này
+) nhìn ((thường) + phó từ)
+) coi như, xem như
+) ((thường) phủ định) để ý, lưu ý, lưu tâm đến (việc gì)
+) có liên quan tới, dính dấp đến, dính dáng đến, có quan hệ tới"
through,having finished or arrived at completion,s,"certain to make history before he's done
it's a done deed
after the treatment, the patient is through except for follow-up",done,"
+) qua, xuyên qua, suốt
+) do, vì, nhờ, bởi, tại
+) qua, xuyên qua, suốt, từ đầu đến cuối
+) đến cùng, hết
+) hoàn toàn
+) đã nói chuyện được (qua dây nói); (từ Mỹ,nghĩa Mỹ) đã nói xong (qua dây nói)
+) suốt từ đầu đến cuối
+) làm xong, hoàn thành (công việc...)
+) đã đủ, đã chán; đã mệt (về việc gì)
+) thất bại, không đi đến kết quả nào
+) suốt, thẳng"
them,,,,,"
+) chúng, chúng nó, họ"
anxiety,"(psychiatry) a relatively permanent state of worry and nervousness occurring in a variety of mental disorders, usually accompanied by compulsive behavior or attacks of panic",n,,anxiety,"
+) mối lo, mối lo âu, mối băn khoăn; sự lo lắng
+) lòng ước ao, lòng khao khát; sự khắc khoải"
stratified,divide society into social classes or castes,v,Income distribution often stratifies a society,stratify,"
+) được phân tầngstratify /'strætifai/
+) xếp thành tầng
+) phân tầng"
predictor,someone who makes predictions of the future (usually on the basis of special knowledge),n,,forecaster,"
+) người nói trước; người đoán trước, nhà tiên tri
+) (quân sự) máy đo ngầm, máy quan trắc (các định tầm cao, hướng... của máy bay địch để bắn)
+) (điều khiển học) thiết bị dự báo; (thống kê) biến độc lập (trong dự báo)"
embedded,fix or set securely or deeply,v,"He planted a knee in the back of his opponent
The dentist implanted a tooth in the gum",implant,"
+) được nhúngembed /im'bed/ (imbed) /im'bed/
+) ấn vào, đóng vào, gắn vào
+) ghi vào (trí nhớ)
+) ôm lấy, bao lấy
+) (Tech) gắn vào, đặt vào, gài trong, nhúng vào
+) nhúng"
life,a characteristic state or mode of living,n,"social life
city life
real life",life,"
+) sự sống
+) đời sống, sinh mệnh, tính mệnh
+) đời, người đời
+) cuộc sống, sự sinh sống, sự sinh tồn
+) cách sống, đời sống, cách sinh hoạt
+) sinh khí, sinh lực, sự hoạt động
+) tiểu sử, thân thế
+) tuổi thọ, thời gian tồn tại
+) nhân sinh
+) vật sống; biểu hiện của sự sống
+) (xem) large
+) thoát được an toàn
+) để thoát chết
+) dù chết
+) làm cho hồi tỉnh
+) hồi tỉnh, hồi sinh
+) chưa bao giờ vui thích thoải mái như thế
+) xã hội thượng lưu, xã hội tầng lớp trên
+) lúc sinh thời
+) lúc tuổi thanh xuân
+) (xem) see
+) (xem) single
+) giết ai
+) tự tử, tự sát, tự vẫn
+) truyền thần, như thật"
continuity,uninterrupted connection or union,n,,continuity,"
+) sự liên tục, sự liên tiếp; tính liên tục
+) kịch bản điện ảnh
+) (Tech) liên tục, tính liên tục
+) tính liên tục
+) absolute tính liên tục tuyệt đối
+) approximate c. tính liên tục xấp xỉ
+) left hand c. tính liên tục bên trái
+) stochastic c. ngẫu nhiên
+) uniforme c. tính liên tục đều"
contents,a list of divisions (chapters or articles) and the pages on which they start,n,,contents,"
+) (Tech) nội dung, dung lượngcontent /'kɔntent/
+) nội dung
+) (chỉ số ít) sức chứa, sức đựng, dung tích, dung lượng (bình, hồ, ao...); thể tích (khối đá...); diện tích, bề mặt (ruộng...)
+) lượng, phân lượng
+) (xem) table
+) sự bằng lòng, sự vừa lòng, sự hài lòng, sự vừa ý, sự toại nguyện, sự mãn nguyện, sự thoả mãn
+) sự bỏ phiếu thuận (thượng nghị viện Anh)
+) (số nhiều) những phiếu thuận; những người bỏ phiếu thuận
+) bằng lòng, vừa lòng, hài lòng, vừa ý, toại nguyện, mãn nguyện, thoả mãn
+) sẵn lòng, vui lòng
+) thuận (thượng nghị viện Anh)
+) làm bằng lòng, làm vừa lòng, làm đẹp lòng, làm vui lòng, làm vừa ý, làm đẹp ý, làm mãn nguyện, thoả mãn
+) (Tech) nội dung; dung tích; lượng
+) dung, dung lượng
+) c. of a point set dung lượng của một tập hợp điểm
+) frequency c. phổ tần xuất
+) information c. lượng thông tin"
framework,a hypothetical description of a complex entity or process,n,the computer program was based on a model of the circulatory and respiratory systems,model,"
+) sườn (nhà, tàu...); khung (máy)
+) khung ảnh, khung tranh (nói chung)
+) cốt truyện
+) lớp đá lát thành giếng, sườn đê
+) (nghĩa bóng) cơ cấu tổ chức, khuôn khổ
+) hợp nhất, thống nhất
+) (Tech) sườn, khung, lõi
+) hệ dàn"
pipeline,gossip spread by spoken communication,n,the news of their affair was spread by word of mouth,grapevine,"
+) ống dẫn dầu
+) (nghĩa bóng) nguồn hàng vận chuyển liên tục (từ nơi sản xuất đến các nhà buôn lẻ)
+) (từ Mỹ,nghĩa Mỹ) đường lấy tin riêng
+) đặt ống dẫn dầu
+) dẫn bằng ống dẫn dầu"
food,any substance that can be metabolized by an animal to give energy and build tissue,n,,food,"
+) đồ ăn, thức ăn, món ăn
+) (định ngữ) dinh dưỡng
+) làm cho suy nghĩ
+) chết đuối, làm mồi cho cá
+) chết, đi ngủ với giun
+) (xem) powder"
demographic,a statistic characterizing human populations (or segments of human populations broken down by age or sex or income etc.),n,,demographic,"
+) (thuộc) nhân khẩu học"
excessive,beyond normal limits,s,"excessive charges
a book of inordinate length
his dress stops just short of undue elegance",excessive,"
+) quá mức, thừa
+) quá thể, quá đáng"
develop,"make something new, such as a product or a mental or artistic creation",v,"Her company developed a new kind of building material that withstands all kinds of weather
They developed a new technique",develop,"
+) trình bày, bày tỏ, thuyết minh (luận điểm, vấn đề...)
+) phát triển, mở mang, mở rộng, khuếch trương, làm cho phát đạt
+) khai thác
+) nhiễm, tiêm nhiễm (thói quen...); ngày càng bộc lộ rõ, ngày càng phát huy (khả năng, khuynh hướng...)
+) (nhiếp ảnh) rửa (phim ảnh)
+) (quân sự) triển khai, mở
+) (toán học) khai triển
+) tỏ rõ ra, bộc lộ ra, biểu lộ ra
+) phát triển, mở mang, nảy nở
+) tiến triển
+) hiện (ảnh)
+) phát triển, khai triển; (vật lí) xuất hiện"
protective,intended or adapted to afford protection of some kind,a,"a protective covering
the use of protective masks and equipment
protective coatings",protective,"
+) bảo vệ, bảo hộ, che chở
+) bảo vệ (về kinh tế)
+) phòng ngừa"
shown,give an exhibition of to an interested audience,v,"She shows her dogs frequently
We will demo the new software in Washington",show,"
+) sự bày tỏ
+) sự trưng bày; cuộc triển lãm
+) sự phô trương, sự khoe khoang
+) (thông tục) cuộc biểu diễn
+) bề ngoài, hình thức, sự giả đò, sự giả bộ
+) (từ lóng) cơ hội, dịp
+) (y học) nước đầu ối
+) (từ lóng) việc, công việc kinh doanh, việc làm ăn
+) (quân sự),  (từ lóng) trận đánh, chiến dịch
+) khá lắm!, hay lắm!
+) cho xem, cho thấy, trưng bày, đưa cho xem; tỏ ra
+) tỏ ra, tỏ rõ
+) chỉ, bảo, dạy
+) dẫn, dắt
+) hiện ra, xuất hiện, trông rõ, ra trước công chúng,  (thông tục) ló mặt, lòi ra
+) đưa vào, dẫn vào
+) khoe khoang, phô trương (của cải, tài năng)
+) đưa ra, dẫn ra
+) để lộ ra, lộ mặt nạ (ai)
+) (thông tục) xuất hiện, ló mặt ra, xuất đầu lộ diện; có mặt
+) (từ Mỹ,nghĩa Mỹ),  (thông tục) vượt xa, hơn nhiều
+) (xem) heel
+) (xem) hoof
+) để lộ bản chất của mình; để lộ đảng phái của mình
+) (xem) fight
+) để lộ ý đồ của mình
+) (xem) leg
+) (xem) feathershow /ʃou/
+) sự bày tỏ
+) sự trưng bày; cuộc triển lãm
+) sự phô trương, sự khoe khoang
+) (thông tục) cuộc biểu diễn
+) bề ngoài, hình thức, sự giả đò, sự giả bộ
+) (từ lóng) cơ hội, dịp
+) (y học) nước đầu ối
+) (từ lóng) việc, công việc kinh doanh, việc làm ăn
+) (quân sự),  (từ lóng) trận đánh, chiến dịch
+) khá lắm!, hay lắm!
+) cho xem, cho thấy, trưng bày, đưa cho xem; tỏ ra
+) tỏ ra, tỏ rõ
+) chỉ, bảo, dạy
+) dẫn, dắt
+) hiện ra, xuất hiện, trông rõ, ra trước công chúng,  (thông tục) ló mặt, lòi ra
+) đưa vào, dẫn vào
+) khoe khoang, phô trương (của cải, tài năng)
+) đưa ra, dẫn ra
+) để lộ ra, lộ mặt nạ (ai)
+) (thông tục) xuất hiện, ló mặt ra, xuất đầu lộ diện; có mặt
+) (từ Mỹ,nghĩa Mỹ),  (thông tục) vượt xa, hơn nhiều
+) (xem) heel
+) (xem) hoof
+) để lộ bản chất của mình; để lộ đảng phái của mình
+) (xem) fight
+) để lộ ý đồ của mình
+) (xem) leg
+) (xem) feather
+) chứng tỏ"
