word,meaning,part_of_speech,examples,phonetic,count,meaning_vi
fourth,"
+) following the third position; number four in a countable series","n, r, s","
+) a quarter of a pound
+) the quaternary period of geologic time extends from the end of the tertiary period to the present
+) fourthly, you must pay the rent on the first of the month",fourth,0,"+) thứ tư, thứ bốn
+) một phần tư
+) người thứ bốn; vật thứ bốn; ngày mồng bốn; (từ Mỹ,nghĩa Mỹ) (the Fourth) ngày 4 tháng 7 (quốc khánh Mỹ)"
closer,"
+) a person who closes something","n, r, s, a","
+) whoever is the closer has to turn out the lights and lock up
+) close to noon
+) how close are we to town?",closer,0,"+) xem closeclose /klous/
+) đóng kín
+) chật, chật chội; kín, bí hơi, ngột ngạt"
end,"
+) either extremity of something that has length","n, v","
+) the end of the pier
+) she knotted the end of the thread
+) they rode to the end of the line",end,0,"+) giới hạn
+) đầu, đầu mút (dây...); đuôi; đáy (thùng...) đoạn cuối
+) mẩu thừa, mẩu còn lại"
interchangeably,"
+) in an interchangeable manner",r,"
+) these terms can be used interchangeably",interchangeably,0,"+) có thể thay cho nhau, có thể hoán đổi nhau"
convenience,"
+) the state of being suitable or opportune",n,"
+) chairs arranged for his own convenience
+) they offered the convenience of an installment plan",convenience,0,"+) sự tiện lợi, sự thuận lợi; sự thích hợp
+) đồ dùng, các thứ tiện nghi
+) lợi ích vật chất, điều lợi"
department,"
+) a specialized division of a large organization",n,"
+) you'll find it in the hardware department
+) she got a job in the historical section of the Treasury
+) baking is not my department",department,0,"+) cục; sở; ty; ban; khoa
+) gian hàng, khu bày hàng (trong cửa hiệu)
+) khu hành chính (ở Pháp)"
faculty,"
+) one of the inherent cognitive or perceptual powers of the mind",n,"
+) the dean addressed the letter to the entire staff of the university",faculty,0,"+) tính năng, khả năng; (từ Mỹ,nghĩa Mỹ) khả năng quản trị
+) năng lực
+) tài, tài năng"
lecturer,"
+) a public lecturer at certain universities",n,"
+) ",lector,0,"+) người diễn thuyết, người thuyết trình
+) giảng viên (ở trường đại học)"
exponent,"
+) a person who pleads for a cause or propounds an idea",n,"
+) ",advocate,0,"+) người trình bày, người dẫn giải, người giải thích (một luận điểm...); điều trình bày, điều dẫn giải, điều giải thích
+) người biểu diễn (nhạc...)
+) người tiêu biểu, vật tiêu biểu"
exponentially,"
+) in an exponential manner",r,"
+) inflation is growing exponentially",exponentially,0,+) theo hàm mũ
bib,"
+) top part of an apron; covering the chest","n, v","
+) We tippled the cognac",bib,0,"+) cái yếm dãi (của trẻ con)
+) yếm tạp dề (phần trên của cái tạp dề)
+) diện bảnh thắng bộ đẹp nhất"
lid,"
+) either of two folds of skin that can be moved to cover or open the eye",n,"
+) his lids would stay open no longer
+) he raised the piano lid",eyelid,0,"+) nắp, vung
+) mi mắt ((cũng) eyelid)
+) (từ lóng) cái mũ"
thai,"
+) a native or inhabitant of Thailand","n, a","
+) Siamese kings
+) different Thai tribes live in the north
+) Thai tones",Thai,0,"+) Người Thái
+) Tiếng Thái
+) (thuộc) Thái Lan"
arbitrary,"
+) based on or subject to individual discretion or preference or sometimes impulse or caprice",a,"
+) an arbitrary decision
+) the arbitrary rule of a dictator
+) an arbitrary penalty",arbitrary,0,"+) chuyên quyền, độc đoán
+) tuỳ ý, tự ý
+) không bị bó buộc"
notion,"
+) a vague idea in which some confidence is placed",n,"
+) his impression of her was favorable
+) what are your feelings about the crisis?
+) it strengthened my belief in his sincerity",impression,0,"+) ý niệm, khái niệm
+) ý kiến, quan điểm
+) ý định"
formalize,"
+) make formal or official",v,"
+) We formalized the appointment and gave him a title",formalize,0,"+) nghi thức hoá, trang trọng hoá
+) chính thức hoá
+) làm thành hình thức chủ nghĩa"
gamble,"
+) money that is risked for possible monetary gain","n, v","
+) When you buy these stocks you are gambling",gamble,0,"+) cuộc đánh bạc, cuộc may rủi
+) việc mạo hiểm được ăn cả ngã về không; việc làm liều mưu đồ ăn to (đầu cơ buôn bán...)
+) đánh bạc"
than,,,,,0,+) hơn
only,"
+) being the only one; single and isolated from others","r, s","
+) the lone doctor in the entire county
+) a lonesome pine
+) an only child",lone,0,"+) chỉ có một, duy nhất
+) tốt nhất, đáng xét nhất
+) chỉ, mới"
hence,"
+) (used to introduce a logical conclusion) from that fact or reason or as a result",r,"
+) therefore X must be true
+) the eggs were fresh and hence satisfactory
+) we were young and thence optimistic",therefore,0,"+) sau đây, kể từ đây
+) do đó, vì thế, vì lý do đó
+) (từ cổ,nghĩa cổ) từ chỗ này, từ nơi đây ((thường) from hence)"
rat,"
+) any of various long-tailed rodents similar to but larger than a mouse","n, v","
+) only a rotter would do that
+) kill the rat
+) throw the bum out",rat,0,"+) (động vật học) con chuột
+) (chính trị) kẻ phản bội; kẻ phản đảng; kẻ bỏ đảng trong lúc khó khăn
+) công nhân không chịu tham gia đình công, người chiếm chỗ làm của công nhân đình công; người chịu nhận tiền lương ít hơn của công đoàn yêu sách"
rewrite,"
+) something that has been written again","n, v","
+) the rewrite was much better
+) The student rewrote his thesis
+) re-write a play for use in schools",rewrite,0,"+) viết lại, chép lại
+) viết lại theo một hình thức khác
+) viết lại, chép lại"
equality,"
+) the quality of being the same in quantity or measure or value or status",n,"
+) on a par with the best",equality,0,"+) tính bằng, tính ngang bằng
+) sự bình đẳng
+) đẳng thức"
compress,"
+) a cloth pad or dressing (with or without medication) applied firmly to some part of the body (to relieve discomfort or reduce fever)","n, v","
+) compress the data
+) she compressed her lips
+) the spasm contracted the muscle",compress,0,"+) (y học) gạc
+) ép, nén; đè
+) (nghĩa bóng) cô lại (ý nghĩ, lời nói...)"
complexity,"
+) the quality of being intricate and compounded",n,"
+) he enjoyed the complexity of modern computers",complexity,0,"+) sự phức tạp, sự rắc rối
+) điều phức tạp
+) (Tech) phức tạp; độ phức tạp; tính phức tạp"
punctuation,"
+) something that makes repeated and regular interruptions or divisions",n,"
+) ",punctuation,0,+) sự chấm câu; phép chấm câu; phép đánh dấu chấm
compression,"
+) an increase in the density of something",n,"
+) the contraction of a gas on cooling",compaction,0,"+) sự ép, sự nén
+) (nghĩa bóng) sự cô lại, sự cô đọng; sự giảm bớt
+) (kỹ thuật) sự độn, sự lèn, sự đầm"
collected,"
+) get or gather together","a, s, v","
+) I am accumulating evidence for the man's unfaithfulness to his wife
+) She is amassing a lot of data for her thesis
+) She rolled up a small fortune",roll_up,0,"+) bình tĩnh, tự chủcollect /kə'lekt/
+) tập hợp lại
+) (thông tục) đến lấy, đi lấy, thu lượm, thu thập, góp nhặt, sưu tầm"
lowercase,"
+) the characters that were once kept in bottom half of a compositor's type case","n, a","
+) lowercase letters; a and b and c etc",small_letter,0,+) chữ thường
rates,"
+) a local tax on property (usually used in the plural)","n, v","
+) they traveled at a rate of 55 miles per hour
+) the rate of change was faster than expected
+) a 10-minute phone call at that rate would cost $5",rates,0,"+) (Econ) Thuế địa ốc.
+) Một hứ thuế dựa trên giá trị có thể bị đánh thuế của đất đai và nhà ở, đã được thay thế bằng phí cộng đồng vào cuối những năm 80 ở Anh. Khi áp dụng PHÍ CỘNG ĐỒNG cho cá nhân thì một thuế kinh doanh đồng nhất được áp dụng cho mọi doanh nghiệp. Trong khi mà trước đó mức thuế tính theo đồng bảng do các doanh nghiệp đã trả thay đổi tuỳ theo từng chính quyền địa phương thì loại thuế đồng nhất có nghĩa là mọi doanh nghiệp ở trong nước sẽ thanh toán cùng mức thuế tính theo đồng bảng, mặc dù hiện nay có sự thay đổi giữa Scotland, Anh và Xứ Wales."
denote,"
+) be a sign or indication of",v,"
+) Her smile denoted that she agreed
+) `multi-' denotes `many' 
+) She denoted her feelings clearly",denote,0,"+) biểu hiện, biểu thị, chứng tỏ, chỉ rõ
+) có nghĩa là
+) bao hàm (nghĩa)"
before,"
+) earlier in time; previously",r,"
+) I had known her before
+) as I said before
+) he called me the day before but your call had come even earlier",earlier,0,"+) trước, đằng trước
+) trước đây, ngày trước
+) ngay bây giờ, chẳng bao lâu nữa"
frequent,"
+) do one's shopping at; do business with; be a customer or client of","a, s, v","
+) She haunts the ballet
+) a frequent guest
+) frequent complaints",patronize,0,"+) thường xuyên, hay xảy ra, có luôn
+) nhanh (mạch đập)[fri'kwent]
+) hay lui tới; hay ở"
whey,"
+) the serum or watery part of milk that is separated from the curd in making cheese",n,"
+) Little Miss Muffet sat on a tuffet eating some curds and whey",whey,0,+) nước sữa
chosen,"
+) one who is the object of choice; who is given preference","n, v","
+) she was Mama's chosen
+) one of the elect who have power inside the government
+) Take any one of these cards",chosen,0,"+) chọn, lựa chọn, kén chọn
+) thách muốn
+) (từ cổ,nghĩa cổ) không còn cách nào khác hơn là"
speedily,"
+) with rapid movements",r,"
+) he works quickly",quickly,0,"+) &amp;lt;thgt&amp;gt; mau lẹ, nhanh, nhanh chóng
+) ngay lập tức, không chậm trễ (làm việc, đi đến )"
apt,"
+) (usually followed by `to') naturally disposed toward",s,"
+) he is apt to ignore matters he considers unimportant
+) I am not minded to answer any questions
+) he is apt to lose",apt,0,"+) có khuynh hướng hay, dễ
+) có khả năng, có thể
+) có năng khiếu; có năng lực, tài, giỏi; nhanh trí, thông minh"
gray,"
+) a neutral achromatic color midway between white and black","n, s, v","
+) he was dressed in grey
+) the Confederate army was a vast grey
+) The painter decided to grey the sky",gray,0,"+) (màu) xám
+) hoa râm (tóc)
+) xanh xao, nhợt nhạt, xanh mét (nước da)"
line,"
+) a formation of people or things one beside another","n, v","
+) the line of soldiers advanced with their bayonets fixed
+) they were arrayed in line of battle
+) the cast stood in line for the curtain call",line,0,"+) dây, dây thép
+) vạch đường, đường kẻ
+) đường, tuyến"
hock,"
+) any of several white wines from the Rhine River valley in Germany (`hock' is British usage)","n, v","
+) pawn your grandfather's gold watch",Rhine_wine,0,"+) rượu vang trắng Đức
+) (từ lóng) sự cầm đồ, sự cầm cố
+) (như) hough"
lat,"
+) a broad flat muscle on either side of the back",n,"
+) ",latissimus_dorsi,0,"+) vĩ tuyến, vĩ độ (latitude)
+) viết tắt
+) vĩ tuyến, vĩ độ (latitude)"
frontal,"
+) an adornment worn on the forehead","n, s, a","
+) a frontal appendage
+) frontal rainfall
+) a frontal attack",frontlet,0,"+) (thuộc) trán
+) đằng trước mặt
+) cái che mặt trước bàn thờ"
had,"
+) have or possess, either in a concrete or an abstract sense",v,"
+) She has $1,000 in the bank
+) He has got two beautiful daughters
+) She holds a Master's degree from Harvard",have,0,"+) có
+) (+ from) nhận được, biết được
+) ăn; uống; hút"
unrelated,"
+) lacking a logical or causal relation",a,"
+) ",unrelated,0,"+) không kể lại, không thuật lại
+) không có liên quan
+) không có quan hệ họ hàng"
duality,"
+) being twofold; a classification into two opposed parts or subclasses",n,"
+) the dichotomy between eastern and western culture",dichotomy,0,"+) tính hai mặt
+) (toán học) tính đối ngẫu
+) tính đối ngẫu"
told,"
+) express in words",v,"
+) He said that he wanted to marry her
+) tell me what is bothering you
+) state your opinion",state,0,"+) nói, nói với, nói lên, nói ra
+) nói cho biết, bảo
+) chỉ cho, cho biết"
who,"
+) a United Nations agency to coordinate international health activities and to help governments improve health services",n,"
+) ",World_Health_Organization,0,"+) ai, người nào, kẻ nào, người như thế nào
+) (những) người mà; hắn, họ"
last,"
+) the temporal end; the concluding time","n, s, v, r, a","
+) the stopping point of each round was signaled by a bell
+) the market was up at the finish
+) they were playing better at the close of the season",stopping_point,0,"+) khuôn giày, cốt giày
+) không dính vào những chuyện mà mình không biết
+) lát (đơn vị đo trọng tải của tàu thuỷ, bằng 2000 kg)"
very,"
+) precisely as stated","r, s","
+) the very center of town
+) this is the identical room we stayed in before
+) the themes of his stories are one and the same",very,0,"+) thực, thực sự
+) chính, ngay
+) chỉ"
while,"
+) a period of indeterminate length (usually short) marked by some action or condition",n,"
+) he was here for a little while
+) I need to rest for a piece
+) a spell of good weather",while,0,"+) lúc, chốc, lát
+) bõ công, đáng làm
+) to while away l ng phí, làm mất, để trôi qua; giết (thì giờ)"
broke,"
+) terminate","s, v","
+) She interrupted her pregnancy
+) break a lucky streak
+) break the cycle of poverty",interrupt,0,"+) khánh kiệt, túng quẫn, bần cùngbreak /breik/
+) xe vực ngựa (tập cho ngựa kéo xe)
+) xe ngựa không mui"
