word,meaning,part_of_speech,examples,phonetic,count,meaning_vi
underlying,"
+) be or form the base for","s, v","
+) shortcomings inherent in our approach
+) an underlying meaning
+) the fundamental laws of the universe",underlie,0,"+) nằm dưới, dưới
+) (nghĩa bóng) cơ bản, cơ sở
+) nằm dưới, ở dưới"
higher,"
+) advanced in complexity or elaboration","s, a","
+) higher finance
+) higher mathematics
+) higher education",higher,0,"+) cao hơn, có cấp cao hơnhigh /hai/
+) cao
+) cao giá, đắt"
distinct,"
+) (often followed by `from') not alike; different in nature or quality","s, a","
+) plants of several distinct types
+) the word `nationalism' is used in at least two distinct senses
+) gold is distinct from iron",distinct,0,"+) riêng, riêng biệt; khác biệt
+) dễ nhận, dễ thấy, rõ ràng
+) rõ rệt, dứt khoát, nhất định"
parse,"
+) analyze syntactically by assigning a constituent structure to (a sentence)",v,"
+) ",parse,0,"+) phân tích ngữ pháp (từ, câu)"
memorize,"
+) commit to memory; learn by heart",v,"
+) Have you memorized your lines for the play yet?",memorize,0,+) Cách viết khác : memorise
distinguish,"
+) mark as different",v,"
+) We distinguish several kinds of maple
+) The fleeing convicts were picked out of the darkness by the watchful prison guards
+) I can't make out the faces in this photograph",distinguish,0,"+) phân biệt
+) nghe ra, nhận ra
+) (+ into) chia thành, xếp thành (loại...)"
compressed,"
+) make more compact by or as if by pressing","s, v","
+) compress the data
+) she compressed her lips
+) the spasm contracted the muscle",compress,0,"+) (Tech) bị ép, bị nén
+) bị néncompress /kəm'pres/
+) (y học) gạc"
ergodic,"
+) positive recurrent aperiodic state of stochastic systems; tending in probability to a limiting form that is independent of the initial conditions",s,"
+) ",ergodic,0,+) egodic
stationary,"
+) standing still",s,"
+) the car remained stationary with the engine running
+) stationary machinery",stationary,0,"+) đứng ở một chỗ, không di chuyển, tĩnh lại, dừng
+) không mang đi được, để một chỗ
+) đứng, không thay đổi"
depend,"
+) be contingent upon (something that is elided)",v,"
+) That depends
+) you can count on me to help you any time
+) Look to your friends for support",depend,0,"+) (+ on,  upon) phụ thuộc, tuỳ thuộc, tuỳ thuộc
+) (+ on,  upon) dựa vào, ỷ vào, trông mong vào
+) (+ upon) tin vào"
fax,"
+) duplicator that transmits the copy by wire or radio","n, v","
+) Can you fax me the report right away?",facsimile,0,"+) bản fax
+) gửi dưới hình thức fax, đánh fax"
decoder,"
+) the kind of intellectual who converts messages from a code to plain text",n,"
+) ",decoder,0,"+) (Tech) bộ giải mã; người giải mã; bộ kiểm sóng mạch xung; ma trận chuyển mạch
+) máy đọc mật mã
+) strorage d. (điều khiển học) máy đọc mã có nhớ"
zip,"
+) a quantity of no importance","n, v","
+) it looked like nothing I had ever seen before
+) reduced to nil all the work we had done
+) we racked up a pathetic goose egg",nothing,0,"+) tiếng rít (của đạn bay); tiếng xé vải
+) (nghĩa bóng) sức sống, nghị lực
+) rít, vèo (như đạn bay)"
unzip,"
+) open the zipper of",v,"
+) unzip the bag",unzip,0,"+) mở khoá kéo, mở phécmơtuya"
specify,"
+) specify as a condition or requirement in a contract or agreement; make an express demand or provision in an agreement",v,"
+) The will stipulates that she can live in the house for the rest of her life
+) The contract stipulates the dates of the payments
+) fix the variables",stipulate,0,"+) chỉ rõ, ghi rõ, định rõ, ghi chú vào phần chi tiết kỹ thuật
+) chuyên môn hoá; chi tiết hoá; định rõ, ghi rõ"
identical,"
+) exactly alike; incapable of being perceived as different","s, a","
+) rows of identical houses
+) cars identical except for their license plates
+) they wore indistinguishable hats",identical,0,"+) (ngoại giao) identic note công hàm tư tưởng (do nhiều nước cùng gửi cho một nước)
+) đúng, chính
+) (lôgic,  toán) đồng nhất"
starting,"
+) a turn to be a starter (in a game at the beginning)","n, s, v","
+) he got his start because one of the regular pitchers was in the hospital
+) his starting meant that the coach thought he was one of their best linemen
+) We began working at dawn",start,0,"+) sự giật mình
+) sự bắt đầu, sự khởi công, sự khởi hành
+) bắt đầu, khởi hànhstart /stɑ:t/"
encoding,"
+) the activity of converting data or information into code","n, v","
+) encode pictures digitally",encoding,0,"+) (Tech) biên mã, mã hóaencode /in'koud/
+) ghi thành mật mã (điện...)
+) (Tech) biên mã, mã hóa, lập mã"
seen,"
+) perceive by sight or have the power to perceive by sight",v,"
+) You have to be a good observer to see all the details
+) Can you see the bird in that tree?
+) He is blind--he cannot see",see,0,"+) thấy, trông thấy, nhìn thấy; xem, quan sát, xem xét
+) xem, đọc (trang báo chí)
+) hiểu rõ, nhận ra"
null,"
+) a quantity of no importance","n, s","
+) it looked like nothing I had ever seen before
+) reduced to nil all the work we had done
+) we racked up a pathetic goose egg",nothing,0,"+) vô hiệu, không có hiệu lực
+) vô dụng, vô giá trị
+) không có cá tính, không biểu lộ tâm tính"
ambiguity,"
+) an expression whose meaning cannot be determined from its context",n,"
+) ",ambiguity,0,"+) sự tối nghĩa, sự không rõ nghĩa
+) sự không rõ ràng, sự mơ hồ, sự nhập nhằng
+) (Tech) tính lưỡng nghĩa; nhập nhằng, mơ hồ, không xác định"
because,,,,,0,"+) vì, bởi vì
+) vì, do bởi"
efficiency,"
+) the ratio of the output to the input of any system",n,"
+) she did the work with great efficiency",efficiency,0,"+) hiệu lực, hiệu quả
+) năng lực, khả năng
+) năng suất, hiệu suất"
gif,,,,,0,+) Một khuôn thức tệp đồ họa màu ánh xạ bit dùng cho máy tính loại tương thích-IBM
tiff,"
+) a quarrel about petty points",n,"
+) ",bicker,0,"+) (thông tục) sự bất hoà, sự xích mích
+) phật ý, không bằng lòng
+) ngụm, hớp (nước, rượu...)"
modem,"
+) (from a combination of MOdulate and DEModulate) electronic equipment consisting of a device used to connect computers by a telephone line",n,"
+) ",modem,0,"+) bộ điều giải, modem"
considering,"
+) deem to be",v,"
+) She views this quite differently from me
+) I consider her to be shallow
+) I don't see the situation quite as negatively as you do",see,0,"+) vì rằng, thấy rằng, xét rằng
+) xét cho kỹ, xét cho đến cùng
+) cân nhắc, xem xét, suy xét, suy nghĩ"
adobe,"
+) the clay from which adobe bricks are made",n,"
+) ",adobe,0,"+) gạch sống (phơi nắng, không nung)"
acrobat,"
+) an athlete who performs acts requiring skill and agility and coordination",n,"
+) ",acrobat,0,"+) người biểu diễn leo dây, người biểu diễn nhào lộn
+) nhà chính trị nghiêng ngả (dễ dàng thay đổi lập trường); nhà biện luận nghiêng ngả (dễ dàng thay đổi lập luận)"
handling,"
+) manual (or mechanical) carrying or moving or delivering or working with something","n, v","
+) the handling of prisoners
+) the treatment of water sewage
+) the right to equal treatment in the criminal justice system",handling,0,"+) cách trình bày, diễn xuất (tác phẩm (sân khấu))
+) tội chứa chấp hàng ăn cắp
+) quá trình tiến hành công việc mua bán (đóng gói đưa lên tàu cho người tiêu thụ)"
etc,,,,,0,"+) nhiều hơn nữa, vân vân (khi liệt kê)"
repetitive,"
+) repetitive and persistent","s, a","
+) the bluejay's insistent cry
+) repetitive movement",insistent,0,"+) lặp lại
+) lặp"
