word,meaning,part_of_speech,examples,phonetic,count,meaning_vi
stock,"
+) the capital raised by a corporation through the issue of shares entitling holders to an ownership interest (equity)","s, v, n","
+) he owns a controlling share of the company's stock
+) they carried a vast inventory of hardware
+) they stopped selling in exact sizes in order to reduce inventory",stock,0,"+) kho dữ trữ, kho; hàng trong kho
+) (tài chính) vốn; cổ phân
+) (thực vật học) thân chính"
bank,"
+) sloping land (especially the slope beside a body of water)","v, n","
+) they pulled the canoe up on the bank
+) he sat on the bank of the river and watched the currents
+) he cashed a check at the bank",bank,0,"+) đê, gờ, ụ (đất, đá)
+) bờ (sông, hồ, kênh, lạch, ruộng...)
+) đống"
transaction,"
+) the act of transacting within or between groups (as carrying on commercial activities)",n,"
+) no transactions are possible without him
+) he has always been honest is his dealings with me",transaction,0,"+) sự thực hiện; sự giải quyết
+) sự quản lý kinh doanh; công việc kinh doanh; sự giao dịch
+) (số nhiều) văn kiện hội nghị chuyên môn"
ret,"
+) place (flax, hemp, or jute) in liquid so as to promote loosening of the fibers from the woody tissue",v,"
+) ",ret,0,"+) giầm (gai, đay cho róc sợi ra)
+) bị ướt nhũn, bị ướt thối ra (rơm, rạ, cỏ khô)"
pat,"
+) the sound made by a gentle blow","s, v, n, r","
+) pat him on the shoulder
+) glib promises
+) a slick commercial",pat,0,"+) cái vỗ nhẹ, cái vỗ về; tiếng vỗ nhẹ
+) khoanh bơ nhỏ
+) vỗ nhẹ, vỗ về"
sen,"
+) a fractional monetary unit of Japan and Indonesia and Cambodia; equal to one hundredth of a yen or rupiah or riel",n,"
+) ",sen,0,"+) đồng xen (một xu, tiền Nhật)"
tittle,"
+) a tiny or scarcely detectable amount",n,"
+) ",shred,0,"+) một chút, chút xíu, tí tẹo, tẹo"
ten,"
+) the cardinal number that is the sum of nine and one; the base of the decimal system","s, n","
+) ",ten,0,"+) mười, chục
+) số mười
+) nhóm mười, bộ mười"
dap,,,,,0,"+) sự nảy lên (quả bóng)
+) câu nhắp (thả mồi xấp xấp trên mặt nước)
+) nảy lên (quả bóng)"
lien,"
+) the right to take another's property if an obligation is not discharged",n,"
+) ",lien,0,+) (pháp lý) quyền giữ (đồ thế nợ cho đến khi thu hết nợ)
true,"
+) proper alignment; the property possessed by something that is in correct or proper alignment","s, r, v, n, a","
+) out of true
+) true up the cylinder of an engine
+) the story is true",true,0,"+) thật, thực, đúng, xác thực
+) chân chính
+) thành khẩn, chân thành"
cling,"
+) fruit (especially peach) whose flesh adheres strongly to the pit","v, n","
+) The dress clings to her body
+) The label stuck to the box
+) The sushi rice grains cohere",cling,0,"+) bám vào, dính sát vào, níu lấy
+) (nghĩa bóng) bám lấy; trung thành (với); giữ mãi
+) bám chặt lấy, giữ chặt lấy"
dung,"
+) fecal matter of animals","v, n","
+) you must dung the land",droppings,0,"+) phân thú vật (ít khi nói về người)
+) phân bón
+) điều ô uế, điều nhơ bẩn"
erode,"
+) become ground down or deteriorate",v,"
+) Her confidence eroded
+) Rain eroded the terraces",erode,0,"+) xói mòn, ăn mòn"
gui,"
+) a user interface based on graphics (icons and pictures and menus) instead of text; uses a mouse as well as a keyboard as an input device",n,"
+) ",graphical_user_interface,0,+) giao diện người-máy bằng đồ họa
tin,"
+) a silvery malleable metallic element that resists corrosion; used in many alloys and to coat other metals to prevent corrosion; obtained chiefly from cassiterite where it occurs as tin oxide","v, n","
+) tinned foods are not very tasty",tin,0,"+) thiếc
+) sắt tây; giấy thiếc
+) hộp thiếc, hộp sắt tây"
cai,,,,,0,+) dạy học có máy tính trợ giúp
total,"
+) the whole amount","s, v, n","
+) The bills amounted to $2,000
+) The bill came to $2,000
+) Add all the people in this town to those of the neighboring town",sum,0,"+) tổng cộng, toàn bộ
+) hoàn toàn
+) tổng số, toàn bộ"
