word,meaning,part_of_speech,examples,phonetic,count,meaning_vi
ordered,"
+) give instructions to or direct somebody to do something with authority","a, v","
+) I said to him to go home
+) She ordered him to do the shopping
+) The mother told the child to get dressed",order,0,"+) ngăn nắp
+) được sắp, được lệnh
+) cyclically o. được sắp xilic"
such,"
+) of so extreme a degree or extent","s, r","
+) such weeping
+) so much weeping
+) such a help",such,0,"+) như thế, như vậy, như loại đó
+) thật là, quả là
+) đến nỗi"
any,"
+) one or some or every or all without specification","s, r","
+) give me any peaches you don't want
+) not any milk is left
+) any child would know that",any,0,"+) một, một (người, vật) nào đó (trong câu hỏi)
+) tuyệt không, không tí nào (ý phủ định)
+) bất cứ (ý khẳng định)"
inherent,"
+) existing as an essential constituent or characteristic",s,"
+) the Ptolemaic system with its built-in concept of periodicity
+) a constitutional inability to tell the truth
+) shortcomings inherent in our approach",built-in,0,"+) vốn có, cố hữu
+) vốn thuộc về, vốn gắn liền với
+) sẵn có không tách được; không bỏ được"
experimental,"
+) relating to or based on experiment","s, a","
+) experimental physics
+) experimental results that supported the hypothesis
+) an experimental drug",experimental,0,"+) dựa trên thí nghiệm
+) để thí nghiệm
+) thực nghiệm"
physical,"
+) involving the body as distinguished from the mind or spirit","s, a","
+) physical exercise
+) physical suffering
+) was sloppy about everything but her physical appearance",physical,0,"+) (thuộc) vật chất
+) (thuộc) khoa học tự nhiên; theo quy luật khoa học tự nhiên
+) (thuộc) vật lý; theo vật lý"
quantitative,"
+) expressible as a quantity or relating to or susceptible of measurement",a,"
+) export wheat without quantitative limitations
+) quantitative analysis determines the amounts and proportions of the chemical constituents of a substance or mixture
+) quantitative studies",quantitative,0,"+) (thuộc) lượng, (thuộc) số lượng
+) định lượng
+) số lượng; định lượng"
attribute,"
+) a construct whereby objects or individuals can be distinguished","v, n","
+) self-confidence is not an endearing property
+) We attributed this quotation to Shakespeare
+) People impute great cleverness to cats",property,0,"+) thuộc tính
+) vật tượng trưng
+) (ngôn ngữ học) thuộc ngữ"
stimulus,"
+) any stimulating information or event; acts to arouse action",n,"
+) ",stimulation,0,"+) sự kích thích; tác dụng kích khích
+) (thực vật học) lông ngứa
+) (tôn giáo) đầu gậy của mục sư"
form,"
+) the phonological or orthographic sound or appearance of a word that can be used to describe or identify something","v, n","
+) the inflected forms of a word can be represented by a stem and a list of inflections to be attached
+) sculpture is a form of art
+) what kinds of desserts are there?",form,0,"+) hình, hình thể, hình dạng, hình dáng
+) (triết học) hình thức, hình thái
+) hình thức (bài văn...), dạng"
constraint,"
+) the state of being physically constrained",n,"
+) dogs should be kept under restraint
+) the car did not have proper restraints fitted",constraint,0,"+) sự bắt ép, sự ép buộc, sự cưỡng ép, sự thúc ép
+) sự đè nén, sự kiềm chế
+) sự gượng gạo, sự miễn cưỡng; sự e dè"
moreover,"
+) in addition",r,"
+) computer chess games are getting cheaper all the time; furthermore, their quality is improving
+) the cellar was dark; moreover, mice nested there
+) what is more, there's no sign of a change",furthermore,0,"+) hơn nữa, ngoài ra, vả lại, vả chăng"
numerous,"
+) amounting to a large indefinite number",s,"
+) numerous times
+) the family was numerous
+) Palomar's fans are legion",numerous,0,"+) đông, đông đảo, nhiều
+) có vần, có nhịp điệu (văn, thơ)"
dynamic,"
+) an efficient incentive","a, n","
+) they hoped it would act as a spiritual dynamic on all churches
+) a dynamic market
+) a dynamic speaker",moral_force,0,"+) (thuộc) động lực
+) (thuộc) động lực học
+) năng động, năng nổ, sôi nổi"
restricted,"
+) place restrictions on","s, a, v","
+) curtail drinking in school
+) This substance is controlled
+) restrict the use of this parking lot",restrict,0,"+) bị hạn chế, bị giới hạn, bị thu hẹp
+) bị hạn chế, bị thu hẹprestrict /ris'trikt/
+) hạn chế, giới hạn, thu hẹp"
kind,"
+) a category of things distinguished by some common characteristic or quality","s, a, n","
+) sculpture is a form of art
+) what kinds of desserts are there?
+) kind to sick patients",kind,0,"+) loài giống
+) loại, hạng, thứ
+) cái cùng loại, cái đúng như vậy"
now,"
+) the momentary present","n, r","
+) Now is a good time to do it
+) it worked up to right now
+) President Kennedy now calls in the National Guard",now,0,"+) bây giờ, lúc này, giờ đây, hiện nay, ngày nay
+) ngay bây giờ, ngay tức khắc, lập tức
+) lúc ấy, lúc đó, lúc bấy giờ (trong lúc kể chuyện)"
hopefully,"
+) with hope; in a hopeful manner",r,"
+) we searched hopefully for a good position
+) hopefully the weather will be fine on Sunday",hopefully,0,"+) đầy hy vọng, phấn khởi"
relaying,"
+) pass along",v,"
+) Please relay the news to the villagers",relay,0,"+) sự chuyển tiếp, sự tiếp âm; sự bảo vệ bằng rơle; sự đặt rơle trong mạng điệnrelay /ri'lei/
+) kíp ngựa (tốp ngựa thay cho tốp trước đã mệt)
+) ca, kíp (thợ)"
precise,"
+) sharply exact or accurate or delimited","s, a","
+) a precise mind
+) specified a precise amount
+) arrived at the precise moment",precise,0,"+) đúng, chính xác
+) tỉ mỉ, kỹ tính, nghiêm ngặt, câu nệ (người...)
+) chính xác; xác định"
notation,"
+) a technical system of symbols used to represent special things",n,"
+) his notes were appended at the end of the article
+) he added a short notation to the address on the envelope",notation,0,"+) ký hiệu
+) (từ Mỹ,nghĩa Mỹ) lời chú thích, lời chú giải, lời ghi ch
+) ký hiệu"
key,"
+) metal device shaped in such a way that when it is inserted into the appropriate lock the lock's mechanism can be rotated","s, v, n","
+) the key to development is economic integration
+) he spoke in a low key
+) they were carrying two keys of heroin",key,0,"+) hòn đảo nhỏ
+) bâi cát nông; đá ngần
+) chìa khoá"
statistics,"
+) a branch of applied mathematics concerned with the collection and interpretation of quantitative data and the use of probability theory to estimate population parameters",n,"
+) ",statistics,0,"+) thống kê
+) khoa học thống kê
+) thống kê học, thống kê"
mathematical,"
+) of or pertaining to or of the nature of mathematics","s, a","
+) a mathematical textbook
+) slide rules and other mathematical instruments
+) a mathematical solution to a problem",mathematical,0,"+) toán, toán học
+) đúng, chính xác (bằng chứng...)
+) (thuộc) toán"
perception,"
+) the representation of what is perceived; basic component in the formation of a concept",n,"
+) Luther had a new perception of the Bible
+) a man admired for the depth of his perception",percept,0,"+) sự nhận thức
+) (triết học) tri giác
+) (pháp lý) sự thu (thuế...)"
elementary,"
+) easy and not involved or complicated","s, a","
+) an elementary problem in statistics
+) elementary, my dear Watson
+) a simple game",elementary,0,"+) cơ bản, sơ yếu
+) (hoá học) không phân tách được
+) trường cấp hai"
cardinality,"
+) (mathematics) the number of elements in a set or group (considered as a property of that grouping)",n,"
+) ",cardinality,0,"+) (toán học) số các yếu tố trong một tập hợp
+) bản số; lực lượng"
quantify,"
+) use as a quantifier",v,"
+) Can you quantify your results?",quantify,0,"+) xác định số lượng
+) lượng tử hoá
+) số lượng, lượng"
then,"
+) that time; that moment","s, n, r","
+) we will arrive before then
+) we were friends from then on
+) the then president",then,0,"+) lúc đó, hồi ấy, khi ấy
+) rồi, rồi thì, sau đó
+) vậy thì, như thế thì, trong trường hợp ấy"
sin,"
+) estrangement from god","v, n","
+) they began to fight like sin
+) I blundered during the job interview",sin,0,"+) tội lỗi, tội ác; sự phạm (luân thường đạo lý, thẩm mỹ...)
+) nghề gì cũng vinh quang
+) (từ lóng) kịch liệt, mãnh liệt"
variance,"
+) an event that departs from expectations",n,"
+) a growing divergence of opinion
+) a zoning variance
+) any variation in his routine was immediately reported",discrepancy,0,"+) sự khác nhau, sự không đi đôi, sự không ăn khớp, sự mâu thuẫn
+) sự xích mích; mối bất hoà
+) sự thay đổi (về thời tiết...)"
pre,,,,,0,"+) (tiền tố) trước, tiền, sẵn"
era,"
+) a period marked by distinctive character or reckoned from a fixed point or event",n,"
+) ",era,0,"+) thời đại, kỷ nguyên
+) (địa lý,địa chất) đại"
deterministic,"
+) an inevitable consequence of antecedent sufficient causes",s,"
+) ",deterministic,0,"+) xem determinism
+) tất định"
