word,meaning,part_of_speech,examples,meaning_vi,phonetic,count
second,"
+) 1/60 of a minute; the basic unit of time adopted under the Systeme International d'Unites","v, n, a, r, s","
+) wait just a moment
+) in a mo
+) it only takes a minute","+) thứ hai, thứ nhì
+) phụ, thứ yếu; bổ sung
+) không thua kém ai",second,0.0
auxiliary,"
+) someone who acts as assistant","n, s","
+) the main library and its auxiliary branches
+) an ancillary pump
+) an adjuvant discipline to forms of mysticism","+) phụ, bổ trợ
+) người giúp đỡ, người phụ tá
+) (ngôn ngữ học) trợ động từ",aide,0.0
lead,"
+) an advantage held by a competitor in a race","n, v","
+) he took the lead at the last turn
+) the children were playing with lead soldiers
+) the police are following a promising lead","+) chì
+) (hàng hải) dây dọi dò sâu, máy dò sâu
+) (ngành in) thanh cỡ",lead,0.0
better,"
+) something superior in quality or condition or effect","v, n, a, r, s","
+) a change for the better
+) the common man has been kept in his place by his betters
+) chose the better of the two","+) cấp so sánh của good
+) hơn, tốt hơn, khá hơn, hay hơn, đẹp hơn
+) khoẻ hơn, dễ chịu hơn, đã đỡ (người ốm...)",better,0.0
pleasant,"
+) affording pleasure; being in harmony with your taste or likings","a, s","
+) we had a pleasant evening together
+) a pleasant scene
+) pleasant sensations","+) vui vẻ, dễ thương (người...)
+) dễ chịu, thú vị, làm thích ý, vừa ý, đẹp hay, vui, êm đềm, dịu dàng
+) (từ cổ,nghĩa cổ) hay vui đùa, hay pha trò, hay khôi hài",pleasant,0.0
old,"
+) past times (especially in the phrase `in days of old')","a, n, s","
+) his mother is very old
+) a ripe old age
+) how old are you?","+) già
+) già giặn, có kinh nghiệm, lão luyện
+) lên... tuổi, thọ",old,0.0
arm,"
+) a human limb; technically the part of the superior limb between the shoulder and the elbow but commonly used to refer to the whole superior limb","n, v","
+) the arm of the record player
+) an arm of the sea
+) a branch of the sewer","+) cánh tay
+) tay áo
+) nhánh (sông...)",arm,0.0
need,"
+) a condition requiring relief","n, v","
+) she satisfied his need for affection
+) God has no need of men to accomplish His work
+) there is a demand for jobs","+) sự cần
+) tình cảnh túng thiếu; lúc khó khăn, lúc hoạn nạn
+) thứ cần dùng nhu cầu",need,0.0
ike,"
+) United States general who supervised the invasion of Normandy and the defeat of Nazi Germany; 34th President of the United States (1890-1961)",n,"
+) ",+) (raddiô) Icônôxcôp,Eisenhower,0.0
high,"
+) a lofty level or position or degree","a, n, s, r","
+) summer temperatures reached an all-time high
+) the east coast benefits from a Bermuda high
+) I'm on a permanent high these days","+) cao
+) cao giá, đắt
+) lớn, trọng; tối cao, cao cấp; thượng, trên",high,0.0
worse,"
+) something inferior in quality or condition or effect","a, n, s, r","
+) for better or for worse
+) accused of cheating and lying and worse
+) this road is worse than the first one we took","+) xấu hơn, tồi hơn, dở hơn
+) ác hơn
+) nguy hiểm hơn",worse,0.0
worst,"
+) the least favorable outcome","v, n, a, r, s","
+) the worst that could happen
+) the invaders did their worst
+) so pure of heart that his worst is another man's best","+) xấu nhất, tồi nhất, tệ nhất
+) độc ác nhất
+) nghiêm trọng nhất",worst,0.0
cream,"
+) the best people or things in a group","n, v","
+) the cream of England's young men were killed in the Great War
+) Cream the butter
+) We licked the other team on Sunday!","+) kem (lấy từ sữa)
+) kem (que, cốc)
+) kem (để bôi)",cream,0.0
find,"
+) a productive insight","n, v","
+) We find this idea in Plato
+) I happened upon the most wonderful bakery not very far from here
+) She chanced upon an interesting book in the bookstore the other day","+) sự tìm thấy (chồn, cáo, mỏ, vàng...)
+) vật tìm thấy
+) thấy, tìm thấy, tìm ra, bắt được",discovery,0.0
push,"
+) the act of applying force in order to move something away","n, v","
+) he gave the door a hard push
+) the pushing is good exercise
+) the push of the water on the walls of the tank","+) sự xô, sự đẩy; cú đẩy
+) sự thúc đẩy, sự giúp sức (ai tiến lên)
+) (kiến trúc) sức đẩy lên, sức đỡ lên (của vòng...)",push,0.0
earn,"
+) earn on some commercial or business transaction; earn as salary or wages",v,"
+) How much do you make a month in your new job?
+) She earns a lot in her new job
+) this merger brought in lots of money","+) kiếm được (tiền...); giành được (phần thưởng, sự khen ngợi...)",gain,0.0
back,"
+) the posterior part of a human (or animal) body from the neck to the end of the spine","v, n, a, r, s","
+) his back was nicely tanned
+) he wrote the date on the back of the photograph
+) he stood at the back of the stage","+) lưng (người, vật)
+) ván lưng, ván ngựa (ghế)
+) đằng sau",back,0.0
ring,"
+) a characteristic sound","n, v","
+) it has the ring of sincerity
+) a ring of ships in the harbor
+) a halo of smoke","+) cái nhẫn
+) cái đai (thùng...)
+) vòng tròn",ring,0.0
wrong,"
+) that which is contrary to the principles of justice or law","v, n, a, r, s","
+) he feels that you are in the wrong
+) an incorrect calculation
+) the report in the paper is wrong","+) xấu, không tốt, tồi
+) trái, ngược
+) sai, không đúng, lầm; trái lý, sai trái",wrong,0.0
article,"
+) nonfictional prose forming an independent part of a publication","n, v","
+) an article of clothing","+) bài báo
+) điều khoản, mục
+) đồ, thức, vật phẩm; hàng",article,0.0
used,"
+) put into service; make work or employ for a particular purpose or for its inherent or natural purpose","a, v, s","
+) use your head!
+) we only use Spanish at home
+) I can't use this tool","+) thường dùng, đang dùng
+) cũ, đ  dùng rồi (đồ vật)
+) quen",use,0.0
amount,"
+) a quantity of money","n, v","
+) he borrowed a large sum
+) the amount he had in cash was insufficient
+) an adequate amount of food for four people","+) số lượng, số nhiều
+) tổng số
+) thực chất, giá trị thực; tầm quan trọng, ý nghĩa",sum,0.0
lower,"
+) the lower of two berths","a, n, v, s","
+) take down the vase from the shelf
+) lower a rating
+) lower expectations","+) thấp hơn, ở dưới, bậc thấp
+) hạ thấp, hạ xuống, kéo xuống
+) giảm, hạ (giá cả)",lower_berth,0.0
music,"
+) an artistic form of auditory communication incorporating instrumental or vocal tones in a structured and continuous manner",n,"
+) he fell asleep to the music of the wind chimes
+) his music was his central interest
+) you have to face the music","+) nhạc, âm nhạc
+) tiếng nhạc
+) khúc nhạc",music,0.0
spread,"
+) process or result of distributing or extending over a wide expanse of space","s, n, v","
+) gap between income and outgo
+) the spread between lending and borrowing costs
+) a banquet for the graduating seniors","+) sự trải ra, sự căng ra, sự giăng ra
+) sự truyền bá (giáo dục, tư tưởng...)
+) sải cánh (của chim...)",spread,0.0
spot,"
+) a point located with respect to surface features of some region","n, v","
+) this is a nice place for a picnic
+) a bright spot on a planet
+) his acting was one of the high points of the movie","+) dấu, đốm, vết
+) vết nhơ, vết đen
+) chấm đen ở đầu bàn bi-a",topographic_point,0.0
file,"
+) a set of related records (either written or electronic) kept together","n, v","
+) file for divorce
+) file a complaint
+) file one's fingernails","+) cái giũa
+) (từ lóng) thằng cha láu cá, thằng cha quay quắt
+) lấy thúng úp voi; lấy gậy chọc trời",file,0.0
alternative,"
+) one of a number of things from which only one can be chosen","n, s","
+) what option did I have?
+) there no other alternative
+) my only choice is to refuse","+) xen nhau; thay đổi nhau, thay phiên nhau
+) lựa chọn (một trong hai); hoặc cái này hoặc cái kia (trong hai cái); loại trừ lẫn nhau (hai cái)
+) sự lựa chon (một trong hai)",option,0.0
neither,"
+) not either; not one or the other",s,"
+) ","+) không; không... này mà cũng không... kia
+) neither... nor... không... mà cũng không
+) cũng không, mà cũng không",neither,0.0
fish,"
+) any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills","n, v","
+) the shark is a large fish
+) in the living room there was a tank of colorful fish
+) in Japan most fish is eaten raw","+) cá
+) cá, món cá
+) (thiên văn học) chòm sao Cá",fish,0.0
benefit,"
+) financial assistance in time of need","n, v","
+) for the benefit of all
+) She profited from his vast experience
+) This will do you good","+) lợi, lợi ích
+) buổi biểu diễn; trận đấu (lấy tiền ủng hộ, tương tế) ((cũng) benifit night; benifit match)
+) tiền trợ cấp, tiền tuất",benefit,0.0
upstairs,"
+) the part of a building above the ground floor","a, n, r","
+) no one was allowed to see the upstairs
+) the upstairs maid
+) an upstairs room","+) ở trên gác, ở tầng trên
+) lên gác, lên tầng trên
+) (thuộc) tầng trên; ở trên gác, ở tầng trên",upstairs,0.0
sun,"
+) the star that is the source of light and heat for the planets in the solar system","n, v","
+) the sun contains 99.85% of the mass in the solar system
+) the Earth revolves around the Sun
+) the shingles were weathered by the sun and wind","+) mặt trời, vừng thái dương
+) ánh nắng, ánh mặt trời
+) (nghĩa bóng) thế, thời",sun,0.0
sample,"
+) a small part of something intended as representative of the whole","n, v","
+) Try these new crackers
+) Sample the regional dishes","+) mẫu, mẫu hàng
+) lấy mẫu, đưa mẫu
+) thử",sample,0.0
fire,"
+) the event of something burning (often destructive)","n, v","
+) they lost everything in the fire
+) hold your fire until you can see the whites of their eyes
+) they retreated in the face of withering enemy fire","+) lửa, ánh lửa
+) sự cháy, hoả hoạn, sự cháy nhà
+) ánh sáng",fire,0.0
move,"
+) the act of deciding to do something","n, v","
+) he didn't make a move to help
+) his first move was to hire a lawyer
+) they say that three moves equal one fire","+) sự chuyển động, sự di chuyển, sự xê dịch
+) (đánh cờ) nước
+) lượt, lần, phiên (trong một trò chơi)",move,0.0
leave,"
+) the period of time during which you are absent from work or duty","n, v","
+) a ten day's leave to visit his mother
+) she was granted leave to speak
+) he disliked long farewells","+) sự cho phép
+) sự được phép nghỉ
+) sự cáo từ, sự cáo biệt",leave,0.0
normal,"
+) something regarded as a normative example","a, n, s","
+) the convention of not naming the main character
+) violence is the rule not the exception
+) his formula for impressing visitors","+) thường, thông thường, bình thường
+) tiêu chuẩn; ((toán học)) chuẩn tác
+) (toán học) trực giao",convention,0.0
finish,"
+) a decorative texture or appearance of a surface (or the substance that gives it that appearance)","n, v","
+) the boat had a metallic finish
+) he applied a coat of a clear finish
+) when the finish is too thin it is difficult to apply evenly","+) sự kết thúc, sự kết liễu; phần cuối, phần kết thúc, đoạn kết thúc
+) sự sang sửa, cuối cùng, sự hoàn thiện
+) tích chất kỹ, tính chất trau chuốt",coating,0.0
film,"
+) a form of entertainment that enacts a story by sound and a sequence of images giving the illusion of continuous movement","n, v","
+) they went to a movie every Saturday night
+) the film was shot on location
+) theater pieces transferred to celluloid","+) màng; mảng thuốc (trên phim ảnh, trên giấy ảnh...)
+) phim, phim ảnh, phim xi nê
+) (the films) buổi chiếu bóng",movie,0.0
beat,"
+) a regular route for a sentry or policeman","s, n, v","
+) in the old days a policeman walked a beat and knew all his people by name
+) he could feel the beat of her heart
+) the piece has a fast rhythm","+) sự đập; tiếng đập
+) khu vực đi tuần (của cảnh sát); sự đi tuần
+) (thông tục) cái trội hơn hẳn, cái vượt hơn hẳn",beat,0.0
musical,"
+) a play or film whose action and dialogue is interspersed with singing and dancing","a, n","
+) a musical evening
+) musical instruments
+) comes from a very musical family","+) (thuộc) nhạc, (thuộc) âm nhạc
+) du dương, êm tai, thánh thót
+) thích nhạc, có năng khiếu về nhạc, biết thưởng thức nhạc; giỏi nhạc",musical,0.0
lamp,"
+) an artificial source of visible illumination",n,"
+) ","+) đèn
+) mặt trời, mặt trăng, sao
+) nguồn ánh sáng (tinh thần...), nguồn hy vọng",lamp,0.0
original,"
+) an original creation (i.e., an audio recording) from which copies can be made","a, n, s","
+) this painting is a copy of the original
+) the original inhabitants of the Americas
+) the book still has its original binding","+) (thuộc) gốc, (thuộc) nguồn gốc, (thuộc) căn nguyên, đầu tiên
+) (thuộc) nguyên bản chính
+) độc đáo",master,0.0
house,"
+) a dwelling that serves as living quarters for one or more families","n, v","
+) he has a house on Cape Cod
+) she felt she had to get out of the house
+) he worked for a brokerage house","+) nhà ở, căn nhà, toà nhà
+) nhà, chuồng
+) quán trọ, quán rượu, tiệm (rượu...)",house,0.0
note,"
+) a brief written record","n, v","
+) he made a note of the appointment
+) drop me a line when you get there
+) the singer held the note too long","+) lời ghi, lời ghi chép
+) lời ghi chú, lời chú giải
+) sự lưu ý, sự chú ý",note,0.0
low,"
+) an air mass of lower pressure; often brings precipitation","v, n, a, r, s","
+) a low moved in over night bringing sleet and snow
+) the stock market fell to a new low
+) low prices","+) tiếng rống (trâu bò)
+) rống (trâu bò)
+) ngọn lửa",low,0.0
one,"
+) the smallest whole number or a numeral representing this number","n, s","
+) he has the one but will need a two and three to go with it
+) they had lunch at one
+) he is the best one","+) một
+) như thế không thay đổi
+) (xem) all",one,0.0
material,"
+) the tangible substance that goes into the makeup of a physical object","a, n, s","
+) coal is a hard black material
+) wheat is the stuff they use to make bread
+) the archives provided rich material for a definitive biography","+) vật chất
+) (thuộc) thân thể, (thuộc) xác thịt
+) hữu hình, cụ thể, thực chất",material,0.0
look,"
+) the feelings expressed on a person's face","n, v","
+) a sad expression
+) a look of triumph
+) an angry face","+) cái nhìn, cái ngó, cái dòm
+) vẻ, vẻ mặt, nét mặt, vẻ ngoài
+) không nên trông mặt mà bắt hình dong",expression,0.0
ree,,,,"+) cuồng bạo
+) ngà ngà say
+) dòng sông",,0.0
long,"
+) desire strongly or persistently","a, r, v, s","
+) a long life
+) a long boring speech
+) a long time","+) dài (không gian, thời gian); xa, lâu
+) kéo dài
+) cao; nhiều, đáng kể",hanker,0.0
local,"
+) public transport consisting of a bus or train that stops at all stations or stops","a, n","
+) the local seemed to take forever to get to New York
+) local taxes
+) local authorities","+) địa phương
+) bộ phận, cục bộ
+) (toán học) (thuộc) quỹ tích",local,0.0
young,"
+) any immature animal","a, n, s","
+) rock music appeals to the young
+) youth everywhere rises in revolt
+) young people","+) trẻ, trẻ tuổi, thiếu niên, thanh niên
+) non
+) (nghĩa bóng) non trẻ, trẻ tuổi",young,0.0
home,"
+) where you live at a particular time","v, n, a, r, s","
+) deliver the package to my home
+) he doesn't have a home to go to
+) your place or mine?","+) nhà, chỗ ở
+) nhà, gia đình, tổ ấm
+) quê hương, tổ quốc, nơi chôn nhau cắt rún, nước nhà",home,0.0
mention,"
+) a remark that calls attention to something or someone","n, v","
+) she made frequent mention of her promotion
+) there was no mention of it
+) the speaker made several references to his wife","+) sự kể ra, sự nói đến, sự đề cập
+) sự tuyên dương
+) kể ra, nói đến, đề cập",mention,0.0
mine,"
+) excavation in the earth from which ores and minerals are extracted","n, v","
+) mine ores and metals
+) The Vietnamese mined Cambodia","+) đại từ sở hữu
+) của tôi
+) &amp;lt;cổ&amp;gt;&amp;lt;thơ&amp;gt;  (trước nguyên âm hay h) như my",mine,0.0
hope,"
+) a specific instance of feeling hopeful","n, v","
+) it revived their hope of winning the pennant
+) in spite of his troubles he never gave up hope
+) there is little or no promise that he will recover","+) hy vọng
+) nguồn hy vọng
+) từ bỏ mọi hy vọng",hope,0.0
stuff,"
+) the tangible substance that goes into the makeup of a physical object","n, v","
+) coal is a hard black material
+) wheat is the stuff they use to make bread
+) the trunk was full of stuff","+) chất, chất liệu; thứ, món
+) (the stuff) (thông tục) tiền nong; gỗ lạt; đạn
+) vải len",material,0.0
sth,"
+) a hormone produced by the anterior pituitary gland; promotes growth in humans",n,"
+) ","+) phương Nam (South)
+) (something) cái gì đó, cái nào đó",somatotropin,0.0
stick,"
+) an implement consisting of a length of wood","n, v","
+) he collected dry sticks for a campfire
+) the kid had a candied apple on a stick
+) fever left him weak on his sticks","+) cái gậy
+) que củi
+) cán (ô, gươm, chổi...)",stick,0.0
similar,"
+) marked by correspondence or resemblance","a, s","
+) similar food at similar prices
+) problems similar to mine
+) they wore similar coats","+) giống nhau, như nhau, tương tự
+) (toán học) đồng dạng
+) vật giống, vật tương tự",similar,0.0
board,"
+) a committee having supervisory powers","n, v","
+) the board has seven members
+) he nailed boards across the windows
+) she sets a fine table","+) tấm ván
+) bảng
+) giấy bồi, bìa cứng",board,0.0
head,"
+) the upper part of the human body or the front part of the body in animals; contains the face and brains","n, v","
+) he stuck his head out the window
+) 200 head of cattle
+) his mind wandered","+) cái đầu (người, thú vật)
+) người, đầu người; (số nhiều không đổi) con (vật nuôi), đầu (vật nuôi)
+) đầu óc, trí nhớ; năng khiếu, tài năng",head,0.0
hate,"
+) the emotion of intense dislike; a feeling of dislike so strong that it demands action","n, v","
+) I hate Mexican food
+) She detests politicians","+) (thơ ca) lòng căm thù; sự căm hờn, sự căm ghét
+) căm thù, căm hờn, căm ghét
+) (thông tục) không muốn, không thích",hate,0.0
burn,"
+) pain that feels hot as if it were on fire","n, v","
+) They burned the house and his diaries
+) The coals were glowing in the dark
+) The candles were burning","+) (Ê-cốt) (thơ ca) dòng suối
+) vết cháy, vết bỏng
+) đốt, đốt cháy, thiêu, thắp, nung; làm bỏng",burn,0.0
shift,"
+) an event in which something is displaced without rotation","n, v","
+) his switch on abortion cost him the election
+) his constant shifting disrupted the class
+) they built it right over a geological fault","+) sự thay đổi vị trí, sự thay đổi tính tình; sự thăng trầm; sự luân phiên
+) ca, kíp
+) mưu mẹo, phương kế",shift,0.0
extra,"
+) a minor actor in crowd scenes","n, s, r","
+) he always carried extras in case of an emergency
+) trying to lose excess weight
+) found some extra change lying on the dresser","+) thêm, phụ, ngoại
+) thượng hạng, đặc biệt
+) thêm, phụ, ngoại",supernumerary,0.0
progress,"
+) gradual improvement or growth or development","n, v","
+) advancement of knowledge
+) great progress in the arts
+) he listened for the progress of the troops","+) sự tiến tới, sự tiến bộ; sự tiến triển, sự phát triển
+) sự tiến hành
+) (từ cổ,nghĩa cổ) cuộc kinh lý",advancement,0.0
current,"
+) a flow of electricity through a conductor","a, n","
+) the current was measured in amperes
+) the raft floated downstream on the current
+) he felt a stream of air","+) dòng (nước); luồng (gió, không khí); (điện học) dòng điện
+) dòng, luồng, chiều, hướng (dư luận, tư tưởng...)
+) ngược dòng",current,0.0
pull,"
+) the act of pulling; applying force to move something toward or with you","n, v","
+) the pull up the hill had him breathing harder
+) his strenuous pulling strained his back
+) the pull of the moon","+) sự lôi, sự kéo, sự giật; cái kéo, cái giật
+) sự kéo, sức đẩy, sự hút
+) nút kéo, nút giật (ngăn kéo, chuông...)",pull,0.0
may,"
+) the month following April and preceding June",n,"
+) ","+) có thể, có lẽ
+) có thể (được phép)
+) có thể (dùng thay cho cách giả định)",May,0.0
award,"
+) a grant made by a law court","n, v","
+) he criticized the awarding of compensation by the court
+) an award for bravery
+) the prize was a free trip to Europe","+) phần thưởng, tặng thưởng (do quan toà, hội đồng trọng tài, hội đồng giám khảo... quyết định ban cho)
+) sự quyết định của quan toà, của hội đồng giám khảo...
+) sự trừng phạt, hình phạt (do quan toà, hội đồng trọng tài, hội đồng giám khảo... quyết định bắt phải chịu)",award,0.0
contest,"
+) an occasion on which a winner is selected from among two or more contestants","n, v","
+) They contested the outcome of the race","+) cuộc tranh luận, cuộc tranh cãi
+) (thể dục,thể thao) cuộc thi; trận đấu, trận giao tranh
+) cuộc chiến đấu, cuộc đấu tranh",contest,0.0
race,"
+) any competition","n, v","
+) the race for the presidency
+) the race is to the swift
+) some biologists doubt that there are important genetic differences between races of human beings","+) (sinh vật học) nòi
+) chủng tộc, nòi người
+) loài, giống",race,0.0
rate,"
+) a magnitude or frequency relative to a time unit","n, v","
+) they traveled at a rate of 55 miles per hour
+) the rate of change was faster than expected
+) a 10-minute phone call at that rate would cost $5","+) tỷ lệ
+) tốc độ
+) giá, suất, mức (lương...)",rate,0.0
reach,"
+) the limits within which something can be effective","n, v","
+) range of motion
+) he was beyond the reach of their fire
+) the range of a supersonic jet","+) sự chìa ra, sự trải ra
+) sự với (tay); tầm với
+) (thể dục,thể thao) tầm duỗi tay (để đấm đối phương...)",range,0.0
pack,"
+) a large indefinite number","n, v","
+) a battalion of ants
+) a multitude of TV antennas
+) a plurality of religions","+) bó, gói; ba lô (quần áo)
+) đàn, bầy (chó săn, chó sói...)
+) lũ, loạt, lô",battalion,0.0
market,"
+) the world of commercial activity where goods and services are bought and sold","n, v","
+) without competition there would be no market
+) they were driven from the marketplace
+) before they publish any book they try to determine the size of the market for it","+) chợ
+) thị trường, nơi tiêu thụ; khách hàng
+) giá thị trường; tình hình thị trường",market,0.0
map,"
+) a diagrammatic representation of the earth's surface (or part of it)","n, v","
+) map the surface of Venus
+) We haven't even begun to map the many galaxies that we know exist
+) map the genes","+) bản đồ
+) (toán học) bản đồ; ảnh tượng
+) (từ lóng) mặt",map,0.0
future,"
+) the time yet to come","a, n, s","
+) some future historian will evaluate him
+) he was preparing for future employment opportunities
+) our next president","+) tương lai
+) tương lai
+) (số nhiều) (thương nghiệp) hàng hoá bán sẽ giao sau",future,0.0
make,"
+) a recognizable kind","n, v","
+) there's a new brand of hero in the movies now
+) what make of car is that?
+) make love, not war","+) hình dáng, cấu tạo (của một vật); kiểu (quần áo); tầm vóc, dáng, tư thế (người)
+) sự chế nhạo
+) (điện học) công tắc, cái ngắt điện",brand,0.0
average,"
+) a statistic describing the location of a distribution","s, n, v","
+) it set the norm for American homes
+) he is about average in height
+) the snowfall this month is below average","+) số trung bình, mức trung bình; sự ước lượng trung bình
+) loại trung bình, tiêu chuẩn bình thường
+) (thương nghiệp) sự chia số thiệt hại (về tàu bè hoặc hàng hoá chở trên tàu bè) do tai nạn (giữa chủ tàu và hãng bảo hiểm)",average,0.0
fun,"
+) activities that are enjoyable or amusing",n,"
+) I do it for the fun of it
+) he is fun to have around
+) he became a figure of fun","+) sự vui đùa, sự vui thích; trò vui đùa
+) mạnh mẽ; rất nhanh
+) nhiều lần",fun,0.0
repair,"
+) the act of putting something in working order again","n, v","
+) the building was in good repair
+) She repaired her TV set
+) Repair my shoes please","+) sự sửa chữa, sự tu sửa
+) sự hồi phục
+) tình trạng sử dụng được, tình trạng còn tốt",repair,0.0
request,"
+) a formal message requesting something that is submitted to an authority","n, v","
+) She requested an extra bed in her room
+) She called for room service
+) She asked him to be here at noon","+) lời thỉnh cầu, lời yêu cầu, lời đề nghị
+) (thương nghiệp) nhu cầu, sự hỏi mua
+) thỉnh cầu, yêu cầu, đề nghị",request,0.0
even,"
+) the latter part of the day (the period of decreasing daylight from late afternoon until nightfall)","v, n, a, r, s","
+) he enjoyed the evening light across the lake
+) level the ground
+) even out the surface","+) chiều, chiều hôm
+) bằng phẳng
+) ngang bằng, ngang",evening,0.0
good,"
+) benefit","a, n, s, r","
+) for your own good
+) what's the good of worrying?
+) there is much good to be found in people","+) tốt, hay, tuyệt
+) tử tế, rộng lượng, thương người; có đức hạnh, ngoan
+) tươi (cá)",good,0.0
program,"
+) a series of steps to be carried out or goals to be accomplished","n, v","
+) they drew up a six-step plan
+) they discussed plans for a new bond issue
+) he proposed an elaborate program of public works","+) chương trình (công tác, biểu diễn văn nghệ...)
+) cương lĩnh (của tổ chức, đảng phái)
+) đặt chương trình, lập chương trình",plan,0.0
professional,"
+) a person engaged in one of the learned professions","a, n, s","
+) the professional man or woman possesses distinctive qualifications
+) began her professional career after the Olympics
+) professional theater","+) (thuộc) nghề, (thuộc) nghề nghiệp
+) chuyên nghiệp
+) người chuyên nghiệp",professional,0.0
ace,"
+) the smallest whole number or a numeral representing this number","s, n, v","
+) he has the one but will need a two and three to go with it
+) they had lunch at one
+) She sailed through her exams","+) (đánh bài) quân át, quân xì; điểm 1 (trên quân bài hay con súc sắc)
+) phi công xuất sắc (hạ được trên mười máy bay địch); vận động viên xuất sắc; người giỏi nhất (về cái gì...); nhà vô địch
+) (thể dục,thể thao) cú giao bóng thắng điểm; điểm thắng giao bóng (quần vợt)",one,0.0
type,"
+) a subdivision of a particular kind of thing","n, v","
+) what type of sculpture do you prefer?
+) a real character
+) a strange character","+) kiểu mẫu
+) kiểu
+) chữ in",type,0.0
eel,"
+) the fatty flesh of eel; an elongate fish found in fresh water in Europe and America; large eels are usually smoked or pickled",n,"
+) ","+) con cá chình; con lươn ((nghĩa đen) &amp;amp; (nghĩa bóng))
+) (thông tục) con giun giấm",eel,0.0
model,"
+) a hypothetical description of a complex entity or process","s, n, v","
+) the computer program was based on a model of the circulatory and respiratory systems
+) his car was an old model
+) the president didn't have time to be a model so the artist worked from photos","+) kiểu, mẫu, mô hình
+) (nghĩa bóng) người làm gương, người gương mẫu
+) (thông tục) người giống hệt; vật giống hệt",model,0.0
pass,"
+) (baseball) an advance to first base by a batter who receives four balls","a, n, v","
+) he worked the pitcher for a base on balls
+) he had a pass for three days
+) the coach sent in a passing play on third and long","+) đi, đi lên; đi qua, đi ngang qua
+) (nghĩa bóng) trải qua
+) chuyển qua, truyền, trao, đưa",base_on_balls,0.0
